grid_id,cell_lon,cell_lat,gx,gy,n_weeks,mean_true,mean_pred_last,mean_pred_mean,std_true,std_pred_last,mae_last,rmse_last,slope_y_true_per_day,slope_y_pred_last_per_day,visits_2025,visitors_2025
3052_46756,-83.35921382278624,42.2087639148491,3052,46756,40,425397.85,433325.61484375,433681.5615234375,37472.781247022205,27711.62148640747,31401.88046875,38535.295061804914,-221.65829536317418,-173.6753764908871,22120621.0,17058174.0
3053_46756,-83.35800341069549,42.20878881612681,3053,46756,40,366891.22421875,367605.5515625,367440.65748697915,33766.26721639379,27257.961116302795,27567.30703125,33193.83488878766,-132.16801251340135,-100.43391433261873,18816292.0,14551580.0
3295_46915,-83.06972154736151,42.35754509305293,3295,46915,40,276946.225,274365.47578125,272543.9043945313,54126.66724025987,36966.897173630336,42488.4390625,54248.16738855719,200.8493299383542,352.95393451822605,13940163.0,9720008.0
3054_46755,-83.35675952891577,42.20791383404898,3054,46755,40,134266.4009765625,138266.3232421875,138549.0032063802,14898.986596676268,13652.581390089139,13092.701953125,16288.29002546845,-118.5726810632202,-127.51701757655427,7028727.0,6020640.0
3302_46888,-83.06043298979989,42.3333974074094,3302,46888,40,105606.3,104936.6998046875,104502.18510742187,7913.1704502278335,4781.574154702191,6724.1580078125,8747.721116685958,10.01562583757708,25.750780935908672,5391906.0,3739593.0
3319_46883,-83.03966560204515,42.32926604843243,3319,46883,40,88231.9,90858.5203125,91083.36138509115,22930.522701725724,16880.56158796891,18363.047265625,25923.727605678767,-123.23419994639501,30.558673529214886,4318373.0,3256876.0
3296_46900,-83.06806524507091,42.34406664735267,3296,46900,40,77745.725,76719.61396484375,75778.82307128907,11727.949336537256,7788.023113149014,9982.01123046875,13555.0646018122,33.64638166711346,68.83937664374496,3897238.0,3081969.0
3318_46884,-83.04090768837024,42.33014449945832,3318,46884,40,71498.825390625,73298.6197265625,73279.15472005209,7252.918022681029,4082.7865161685736,5417.0107421875,6987.205519509848,-63.24517440448275,-20.237472674048544,3654258.0,3286627.0
3257_47012,-83.11876993113601,42.44400186825875,3257,47012,40,61766.825,61022.9412109375,61175.391276041664,3292.3890000369174,1898.4013945584534,2898.1841796875,4156.445194832867,5.676132404181293,0.559097971388346,3172296.0,2612973.0
3312_46894,-83.04847782275372,42.339015052447614,3312,46894,40,59874.29990234375,63869.11225585938,64725.30537109375,59192.3548812693,31500.05597530855,56835.80961914062,65656.84896752442,-319.9160835210902,123.18525694246703,2478004.0,2299269.0
