grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,19345.554912860578,13,0.0,0.0,0.0,0.0,19259.92345252404,20915.234289398384,-1569.679376537806
3052_46754,20589.498009314902,13,1.0,0.0,0.0,0.0,18764.310546875,25844.931387721084,-5255.433378406182
3052_46756,448710.6544471154,13,0.0,1.0,0.0,0.0,416711.9423076923,125748.2790390204,322962.37540809496
3053_46755,40790.135441706734,13,0.0,0.0,1.0,0.0,40150.689903846156,32802.770192282165,7987.365249424569
3053_46756,383808.0018028846,13,1.0,1.0,0.0,0.0,363451.6538461539,155385.82504361082,228422.1767592738
3054_46753,28890.22889122596,13,0.0,0.0,0.0,0.0,30078.071814903848,20915.234289398384,7974.994601827577
3054_46755,143813.9657451923,13,3.0,0.0,0.0,0.0,129862.32632211539,31936.496972740268,111877.46877245205
3055_46754,30682.48358623798,13,0.0,1.0,0.0,0.0,32229.851412259617,125748.2790390204,-95065.79545278242
3057_46762,40213.397911658656,13,1.0,0.0,0.0,0.0,35053.768028846156,25844.931387721084,14368.466523937572
3106_46960,24381.963529146633,13,0.0,0.0,0.0,0.0,24125.538912259617,20915.234289398384,3466.729239748249
3126_47008,17366.057035006008,13,0.0,0.0,0.0,0.0,20680.76960637019,20915.234289398384,-3549.177254392376
3129_46988,22199.109825721152,13,0.0,0.0,0.0,0.0,20780.310096153848,20915.234289398384,1283.8755363227683
3146_46979,58681.03102463942,13,1.0,0.0,0.0,0.0,58025.002403846156,25844.931387721084,32836.09963691834
3149_47014,16119.67891751803,13,0.0,0.0,0.0,0.0,15338.464017427885,20915.234289398384,-4795.555371880355
3156_47014,20724.338153545672,13,0.0,0.0,0.0,0.0,21873.84675480769,20915.234289398384,-190.89613585271218
3162_46902,16863.52208533654,13,0.0,0.0,0.0,0.0,16845.61726262019,20915.234289398384,-4051.712204061845
3164_46999,15484.450927734375,13,0.0,0.0,0.0,0.0,17566.46183894231,20915.234289398384,-5430.783361664009
3170_46902,18585.802959735578,13,0.0,0.0,0.0,0.0,20132.921123798078,20915.234289398384,-2329.431329662806
3172_46989,26270.99083533654,13,0.0,0.0,0.0,0.0,26985.619591346152,20915.234289398384,5355.756545938155
3176_47014,23152.47686298077,13,0.0,0.0,0.0,0.0,23880.69245793269,20915.234289398384,2237.2425735823854
3183_46902,15286.690786508414,13,0.0,0.0,0.0,0.0,15453.231219951924,20915.234289398384,-5628.54350288997
3186_46902,23903.920259915867,13,2.0,0.0,0.0,0.0,23512.38176081731,29250.983768849175,-5347.063508933308
3188_47014,24879.696814903848,13,0.0,0.0,0.0,0.0,25759.770282451922,20915.234289398384,3964.4625255054634
3190_46906,16473.23005558894,13,0.0,0.0,0.0,0.0,16934.76750300481,20915.234289398384,-4442.004233809443
3190_46978,12618.083327073316,13,0.0,0.0,0.0,0.0,12093.61651141827,20915.234289398384,-8297.150962325068
3201_46924,16096.098707932691,13,0.0,0.0,0.0,0.0,16047.384690504809,20915.234289398384,-4819.135581465693
3206_46983,13931.569204477164,13,0.0,0.0,0.0,0.0,14220.460712139424,20915.234289398384,-6983.66508492122
3208_46975,22000.36046424279,13,0.0,0.0,0.0,0.0,21490.23016826923,20915.234289398384,1085.1261748444049
3210_46983,15182.969388521635,13,0.0,0.0,0.0,0.0,16199.99969951923,20915.234289398384,-5732.264900876749
3214_46982,16098.197415865385,13,0.0,0.0,0.0,0.0,16382.613807091346,20915.234289398384,-4817.036873532999
3222_46975,17557.363431490383,13,0.0,0.0,0.0,0.0,20145.538311298078,20915.234289398384,-3357.870857908001
3222_46983,19536.163855919473,13,1.0,0.0,0.0,0.0,19826.61613581731,25844.931387721084,-6308.767531801612
3222_47008,14973.010591947115,13,1.0,0.0,0.0,0.0,15296.30694110577,25844.931387721084,-10871.920795773969
3223_46832,40091.952674278844,13,0.0,0.0,2.0,0.0,41923.85336538462,42681.415155919814,-2589.4624816409705
3223_47015,23574.185265174277,13,0.0,0.0,0.0,0.0,29588.150240384617,20915.234289398384,2658.9509757758933
3226_46885,58959.67067307692,13,0.0,0.0,0.0,0.0,63245.466346153844,20915.234289398384,38044.436383678534
3228_46887,60619.20042067308,13,0.0,0.0,0.0,0.0,61660.386418269234,20915.234289398384,39703.96613127469
3235_47014,25761.14862530048,13,0.0,0.0,0.0,0.0,20993.847205528848,20915.234289398384,4845.914335902096
3236_46887,16175.185321514424,13,0.0,0.0,0.0,0.0,16479.307391826922,20915.234289398384,-4740.04896788396
3238_46925,14927.194673978365,13,0.0,0.0,0.0,0.0,15204.768629807691,20915.234289398384,-5988.039615420019
3238_46934,13193.026123046875,13,0.0,0.0,0.0,0.0,13737.538236177885,20915.234289398384,-7722.208166351509
3238_46978,16195.44424203726,13,0.0,0.0,0.0,0.0,17561.923677884617,20915.234289398384,-4719.790047361124
3238_47003,18271.507831280047,13,1.0,0.0,0.0,0.0,20285.382061298078,25844.931387721084,-7573.423556441037
3239_46940,15021.594163161059,13,0.0,0.0,0.0,0.0,15572.617337740385,20915.234289398384,-5893.640126237326
3240_46979,17529.57733623798,13,0.0,0.0,0.0,0.0,25124.84356219952,20915.234289398384,-3385.6569531604036
3242_46908,16433.065166766828,13,0.0,0.0,0.0,0.0,16771.6171875,20915.234289398384,-4482.169122631556
3244_46887,14116.430138221154,13,0.0,0.0,0.0,0.0,13794.232196514424,20915.234289398384,-6798.80415117723
3245_46887,15128.901029146635,13,0.0,0.0,0.0,0.0,15003.30596454327,20915.234289398384,-5786.333260251749
3246_46910,14073.694016676684,13,0.0,0.0,0.0,0.0,13836.46161358173,20915.234289398384,-6841.540272721701
3256_47013,27578.973294771633,13,1.0,0.0,0.0,0.0,27640.15399639423,25844.931387721084,1734.0419070505486
3257_47012,62759.536433293266,13,0.0,0.0,1.0,0.0,61481.232872596156,32802.770192282165,29956.7662410111
