grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3052_46756,405048.79607371794,122433.21663645048,282615.5794372675,13,0.0,1.0,0.0,0.0,transport,public_service,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3295_46915,295676.22365785256,20347.695646557917,275328.52801129466,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3053_46756,359298.4893830129,151361.62549736464,207936.86388564823,13,1.0,1.0,0.0,0.0,transport,life,economy,public_service,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46755,127928.48878205128,31099.56414861009,96828.9246334412,13,3.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3302_46888,101069.13025841348,38238.243608361736,62830.88665005173,13,1.0,0.0,1.0,0.0,economy,life,transport,public_service,0.525,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3296_46900,79344.0442207532,20347.695646557917,58996.34857419529,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46884,66716.25575921474,25155.62764156433,41560.628117650405,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46884,54876.62459935897,20347.695646557917,34528.928952801056,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3228_46887,54392.88146033654,20347.695646557917,34045.185813778626,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3226_46885,54386.59567808493,20347.695646557917,34038.90003152702,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3319_46883,84856.52954727564,55305.10308434544,29551.426462930205,13,2.0,0.0,2.0,0.0,economy,life,transport,public_service,0.525,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3146_46979,54036.07424379007,25155.62764156433,28880.44660222574,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3257_47012,58979.26099258814,30929.963443427318,28049.297549160827,13,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3311_46880,56211.20622996795,30929.963443427318,25281.24278654064,13,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3314_46895,49430.82093850161,25155.62764156433,24275.19329693728,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3312_46894,46993.89393028846,25155.62764156433,21838.26628872413,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3318_46889,46989.7926933093,25155.62764156433,21834.165051744967,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3310_46891,41707.5964042468,20347.695646557917,21359.900757688883,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3307_46896,37316.48379907852,25155.62764156433,12160.856157514194,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.575,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46753,31595.614896334133,20347.695646557917,11247.91924977622,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.725,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
