grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_negative
3055_46754,30682.48358623798,13,0.0,1.0,0.0,0.0,32229.851412259617,125748.2790390204,-95065.79545278242,1
3286_46873,58874.550105168266,13,0.0,1.0,0.0,0.0,61031.31490384616,125748.2790390204,-66873.72893385214,2
3314_46885,14895.913743239184,13,1.0,0.0,1.0,0.0,15415.154371995191,40534.21211884845,-25638.29837560927,3
3315_46939,13248.15936748798,13,0.0,0.0,1.0,0.0,12696.461463341346,32802.770192282165,-19554.610824794185,4
3311_46889,19415.98223407452,13,5.0,0.0,0.0,0.0,21218.692908653848,36145.31367117633,-16729.33143710181,5
3313_46884,16408.096416766828,13,0.0,0.0,1.0,0.0,16610.07707331731,32802.770192282165,-16394.673775515337,6
3310_46886,14032.50869516226,13,2.0,0.0,0.0,0.0,14974.00030048077,29250.98376884917,-15218.475073686915,7
3313_46885,14325.392728365385,13,2.0,0.0,0.0,0.0,15761.231595552885,29250.98376884917,-14925.59104048379,8
3351_46983,13178.226506159855,13,1.0,0.0,0.0,0.0,14161.615985576924,25844.931387721084,-12666.704881561229,9
3314_46887,13244.776348407451,13,1.0,0.0,0.0,0.0,12668.00067608173,25844.931387721084,-12600.155039313631,10
3222_47008,14973.010591947115,13,1.0,0.0,0.0,0.0,15296.30694110577,25844.931387721084,-10871.920795773967,11
3308_46883,15855.67071063702,13,1.0,0.0,0.0,0.0,16566.076021634617,25844.931387721084,-9989.260677084065,12
3312_46887,22952.2158203125,13,0.0,0.0,1.0,0.0,24453.00090144231,32802.770192282165,-9850.554371969663,13
3299_46914,16918.48553936298,13,1.0,0.0,0.0,0.0,19305.077674278848,25844.931387721084,-8926.445848358104,14
3190_46978,12618.083327073316,13,0.0,0.0,0.0,0.0,12093.61651141827,20915.234289398384,-8297.150962325068,15
3315_46886,12708.013840895434,13,0.0,0.0,0.0,0.0,12912.308143028846,20915.234289398384,-8207.22044850295,16
3313_46887,18087.53267728365,13,1.0,0.0,0.0,0.0,18276.69050480769,25844.931387721084,-7757.398710437432,17
3238_46934,13193.026123046877,13,0.0,0.0,0.0,0.0,13737.538236177885,20915.234289398384,-7722.208166351509,18
3238_47003,18271.507831280047,13,1.0,0.0,0.0,0.0,20285.38206129808,25844.931387721084,-7573.423556441037,19
3321_46887,18695.508019080527,13,1.0,0.0,0.0,0.0,17745.692232572117,25844.931387721084,-7149.423368640557,20
