grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_negative
3055_46754,33880.87989533253,13,0.0,1.0,0.0,0.0,36741.38055889424,122433.21663645048,-88552.33674111794,1
3286_46873,56725.674253806086,13,0.0,1.0,0.0,0.0,56176.45793269231,122433.21663645048,-65707.54238264437,2
3314_46885,14876.955829326924,13,1.0,0.0,1.0,0.0,15865.38634314904,38238.243608361736,-23361.28777903481,3
3315_46939,9513.786974784654,13,0.0,0.0,1.0,0.0,7018.000356820913,30929.963443427318,-21416.17646864266,4
3311_46889,19740.78315304487,13,5.0,0.0,0.0,0.0,19906.84855769231,35207.910155607606,-15467.127002562736,5
3313_46884,16111.14773011819,13,0.0,0.0,1.0,0.0,16386.767127403848,30929.963443427318,-14818.815713309124,6
3310_46886,14368.495805789262,13,2.0,0.0,0.0,0.0,14165.613731971154,28478.786997352458,-14110.291191563196,7
3314_46887,12487.080810546877,13,1.0,0.0,0.0,0.0,12553.61463341346,25155.62764156433,-12668.546831017456,8
3313_46885,16065.679975460736,13,2.0,0.0,0.0,0.0,17945.61591045673,28478.786997352458,-12413.10702189172,9
3351_46983,13460.07176482372,13,1.0,0.0,0.0,0.0,12593.922325721154,25155.62764156433,-11695.555876740613,10
3222_47008,14962.421048677885,13,1.0,0.0,0.0,0.0,14605.38506610577,25155.62764156433,-10193.206592886443,11
3308_46883,16181.230255909457,13,1.0,0.0,0.0,0.0,14827.307391826924,25155.62764156433,-8974.397385654875,12
3190_46978,11884.16043795072,13,0.0,0.0,0.0,0.0,10519.231708233174,20347.695646557917,-8463.535208607193,13
3299_46914,16699.65251903045,13,1.0,0.0,0.0,0.0,15094.076171875,25155.62764156433,-8455.97512253388,14
3321_46887,17090.142365284453,13,1.0,0.0,0.0,0.0,15855.305889423076,25155.62764156433,-8065.485276279876,15
3315_46886,12565.173677884615,13,0.0,0.0,0.0,0.0,12154.46228966346,20347.695646557917,-7782.521968673298,16
3312_46887,23384.875313000804,13,0.0,0.0,1.0,0.0,25605.53876201923,30929.963443427318,-7545.088130426509,17
3244_46887,12820.692551832934,13,0.0,0.0,0.0,0.0,11980.923490084137,20347.695646557917,-7527.00309472498,18
3313_46887,17886.399971203926,13,1.0,0.0,0.0,0.0,20637.22994290865,25155.62764156433,-7269.227670360404,19
3052_46754,17908.95983573718,13,1.0,0.0,0.0,0.0,18561.77088341346,25155.62764156433,-7246.66780582715,20
