grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_positive
3052_46756,448710.6544471154,13,0.0,1.0,0.0,0.0,416711.9423076923,125748.2790390204,322962.37540809496,1
3295_46915,258299.3386418269,13,0.0,0.0,0.0,0.0,297025.6033653846,20915.234289398384,237384.10435242852,2
3053_46756,383808.0018028846,13,1.0,1.0,0.0,0.0,363451.6538461539,155385.82504361082,228422.1767592738,3
3054_46755,143813.9657451923,13,3.0,0.0,0.0,0.0,129862.3263221154,31936.496972740268,111877.46877245203,4
3302_46888,104761.11268028848,13,1.0,0.0,1.0,0.0,105567.83112980767,40534.21211884845,64226.900561440016,5
3296_46900,72845.47250600961,13,0.0,0.0,0.0,0.0,81072.23167067308,20915.234289398384,51930.23821661122,6
3318_46884,75666.27884615384,13,1.0,0.0,0.0,0.0,74287.54206730769,25844.931387721084,49821.34745843276,7
3319_46884,60853.48257211538,13,0.0,0.0,0.0,0.0,56795.76772836538,20915.234289398384,39938.248282717,8
3228_46887,60619.20042067308,13,0.0,0.0,0.0,0.0,61660.386418269234,20915.234289398384,39703.96613127469,9
3226_46885,58959.67067307692,13,0.0,0.0,0.0,0.0,63245.46634615384,20915.234289398384,38044.43638367853,10
3319_46883,92880.78876201923,13,2.0,0.0,2.0,0.0,98604.62019230767,59691.64343099689,33189.145331022344,11
3146_46979,58681.03102463942,13,1.0,0.0,0.0,0.0,58025.00240384616,25844.931387721084,32836.09963691834,12
3257_47012,62759.53643329327,13,0.0,0.0,1.0,0.0,61481.23287259616,32802.770192282165,29956.7662410111,13
3311_46880,61688.628605769234,13,0.0,0.0,1.0,0.0,49935.004206730766,32802.770192282165,28885.85841348707,14
3318_46889,50991.80994591346,13,1.0,0.0,0.0,0.0,50268.46935096154,25844.931387721084,25146.878558192377,15
3310_46891,42346.885667067305,13,0.0,0.0,0.0,0.0,47421.61478365384,20915.234289398384,21431.65137766892,16
3312_46894,46301.570012019234,13,1.0,0.0,0.0,0.0,88868.68231670673,25844.931387721084,20456.63862429815,17
3057_46762,40213.397911658656,13,1.0,0.0,0.0,0.0,35053.76802884616,25844.931387721084,14368.466523937572,18
3314_46895,39045.36279296875,13,1.0,0.0,0.0,0.0,45462.53500600962,25844.931387721084,13200.431405247666,19
3303_47014,29788.13750751202,13,0.0,0.0,0.0,0.0,27934.99939903846,20915.234289398384,8872.903218113635,20
