grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_positive
3052_46756,405048.79607371794,13,0.0,1.0,0.0,0.0,408414.6298076923,122433.21663645048,282615.5794372675,1
3295_46915,295676.22365785256,13,0.0,0.0,0.0,0.0,293090.77764423075,20347.695646557917,275328.52801129466,2
3053_46756,359298.4893830129,13,1.0,1.0,0.0,0.0,358855.125,151361.62549736464,207936.86388564823,3
3054_46755,127928.48878205128,13,3.0,0.0,0.0,0.0,125922.14002403848,31099.56414861009,96828.9246334412,4
3302_46888,101069.13025841348,13,1.0,0.0,1.0,0.0,107887.23317307692,38238.243608361736,62830.88665005173,5
3296_46900,79344.0442207532,13,0.0,0.0,0.0,0.0,80477.98948317308,20347.695646557917,58996.34857419529,6
3318_46884,66716.25575921474,13,1.0,0.0,0.0,0.0,64383.61899038462,25155.62764156433,41560.628117650405,7
3319_46884,54876.62459935897,13,0.0,0.0,0.0,0.0,55017.30979567308,20347.695646557917,34528.928952801056,8
3228_46887,54392.88146033654,13,0.0,0.0,0.0,0.0,54127.081129807695,20347.695646557917,34045.185813778626,9
3226_46885,54386.59567808493,13,0.0,0.0,0.0,0.0,52400.46484375,20347.695646557917,34038.90003152702,10
3319_46883,84856.52954727564,13,2.0,0.0,2.0,0.0,69534.99849759616,55305.10308434544,29551.426462930205,11
3146_46979,54036.07424379007,13,1.0,0.0,0.0,0.0,58089.928786057695,25155.62764156433,28880.44660222574,12
3257_47012,58979.26099258814,13,0.0,0.0,1.0,0.0,62264.995793269234,30929.963443427318,28049.297549160827,13
3311_46880,56211.20622996795,13,0.0,0.0,1.0,0.0,54699.082331730766,30929.963443427318,25281.24278654064,14
3314_46895,49430.82093850161,13,1.0,0.0,0.0,0.0,74957.2314453125,25155.62764156433,24275.19329693728,15
3312_46894,46993.89393028846,13,1.0,0.0,0.0,0.0,13546.92080453726,25155.62764156433,21838.26628872413,16
3318_46889,46989.7926933093,13,1.0,0.0,0.0,0.0,46116.99849759616,25155.62764156433,21834.165051744967,17
3310_46891,41707.5964042468,13,0.0,0.0,0.0,0.0,39025.23302283654,20347.695646557917,21359.900757688883,18
3307_46896,37316.48379907852,13,1.0,0.0,0.0,0.0,72893.08233173077,25155.62764156433,12160.856157514194,19
3054_46753,31595.614896334133,13,0.0,0.0,0.0,0.0,37312.92533052885,20347.695646557917,11247.91924977622,20
