grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,20863.91469476162,13,0.0,0.0,0.0,0.0,22185.92157451923,23606.36949937863,-2742.4548046170094
3052_46754,17908.95983573718,13,1.0,0.0,0.0,0.0,18561.77088341346,34758.81665369953,-16849.856817962347
3052_46756,405048.79607371794,13,0.0,1.0,0.0,0.0,408414.6298076923,210770.67038403702,194278.12568968092
3053_46755,39047.42074819712,13,0.0,0.0,1.0,0.0,40552.07151442308,38345.744762373004,701.675985824113
3053_46756,359298.4893830129,13,1.0,1.0,0.0,0.0,358855.125,221923.1175383579,137375.37184465496
3054_46753,31595.614896334133,13,0.0,0.0,0.0,0.0,37312.925330528844,23606.36949937863,7989.245396955503
3054_46755,127928.48878205128,13,3.0,0.0,0.0,0.0,125922.14002403847,45911.26380802042,82017.22497403086
3055_46754,33880.87989533253,13,0.0,1.0,0.0,0.0,36741.380558894234,210770.67038403702,-176889.7904887045
3057_46762,32733.89985226362,13,1.0,0.0,0.0,0.0,30018.769981971152,34758.81665369953,-2024.9168014359057
3106_46960,22983.313514122598,13,0.0,0.0,0.0,0.0,22156.154747596152,23606.36949937863,-623.0559852560327
3126_47008,18472.06830929487,13,0.0,0.0,0.0,0.0,18525.76817908654,23606.36949937863,-5134.301190083759
3129_46988,20333.240985576922,13,0.0,0.0,0.0,0.0,19697.76983173077,23606.36949937863,-3273.1285138017083
3146_46979,54036.07424379007,13,1.0,0.0,0.0,0.0,58089.928786057695,34758.81665369953,19277.257590090543
3149_47014,13216.92041015625,13,0.0,0.0,0.0,0.0,12247.386117788461,23606.36949937863,-10389.44908922238
3156_47014,18133.35460486779,13,0.0,0.0,0.0,0.0,15110.924429086539,23606.36949937863,-5473.014894510841
3162_46902,16569.474665715145,13,0.0,0.0,0.0,0.0,15338.692908653846,23606.36949937863,-7036.894833663486
3164_46999,14912.499104817709,13,0.0,0.0,0.0,0.0,14042.922701322115,23606.36949937863,-8693.870394560921
3170_46902,18796.32092598157,13,0.0,0.0,0.0,0.0,18539.23039362981,23606.36949937863,-4810.04857339706
3172_46989,30108.050455729168,13,0.0,0.0,0.0,0.0,25785.385516826922,23606.36949937863,6501.680956350538
3176_47014,22927.930463741985,13,0.0,0.0,0.0,0.0,22878.385216346152,23606.36949937863,-678.4390356366457
3183_46902,15380.719307141426,13,0.0,0.0,0.0,0.0,15903.537334735576,23606.36949937863,-8225.650192237204
3186_46902,22463.53705929487,13,2.0,0.0,0.0,0.0,22325.690655048078,41282.58003025162,-18819.04297095675
3188_47014,23350.235864883813,13,0.0,0.0,0.0,0.0,25251.842247596152,23606.36949937863,-256.13363449481767
3190_46906,16240.67360902444,13,0.0,0.0,0.0,0.0,17456.154071514422,23606.36949937863,-7365.695890354191
3190_46978,11884.16043795072,13,0.0,0.0,0.0,0.0,10519.231708233174,23606.36949937863,-11722.20906142791
3201_46924,16127.436273036858,13,0.0,0.0,0.0,0.0,16075.691781850961,23606.36949937863,-7478.933226341773
3206_46983,13831.282045022035,13,0.0,0.0,0.0,0.0,13440.3818359375,23606.36949937863,-9775.087454356595
3208_46975,19974.251189403043,13,0.0,0.0,0.0,0.0,17887.38371394231,23606.36949937863,-3632.118309975587
3210_46983,15805.986716245992,13,0.0,0.0,0.0,0.0,15214.615609975961,23606.36949937863,-7800.382783132638
3214_46982,15931.344889322916,13,0.0,0.0,0.0,0.0,15970.46259014423,23606.36949937863,-7675.024610055714
3222_46975,17616.21481244992,13,0.0,0.0,0.0,0.0,17921.23182091346,23606.36949937863,-5990.1546869287085
3222_46983,18415.425693609777,13,1.0,0.0,0.0,0.0,17108.30596454327,34758.81665369953,-16343.39096008975
3222_47008,14962.421048677885,13,1.0,0.0,0.0,0.0,14605.38506610577,34758.81665369953,-19796.395605021644
3223_46832,37212.77534054487,13,0.0,0.0,2.0,0.0,34259.53695913462,46967.72657528174,-9754.951234736873
3223_47015,25506.114658453524,13,0.0,0.0,0.0,0.0,21250.461688701922,23606.36949937863,1899.7451590748933
3226_46885,54386.59567808493,13,0.0,0.0,0.0,0.0,52400.46484375,23606.36949937863,30780.2261787063
3228_46887,54392.88146033654,13,0.0,0.0,0.0,0.0,54127.081129807695,23606.36949937863,30786.51196095791
3235_47014,19132.093249198715,13,0.0,0.0,0.0,0.0,15032.308969350961,23606.36949937863,-4474.276250179915
3236_46887,15868.683900490785,13,0.0,0.0,0.0,0.0,15543.92315204327,23606.36949937863,-7737.685598887845
3238_46925,14627.852000701123,13,0.0,0.0,0.0,0.0,14312.461162860576,23606.36949937863,-8978.517498677507
3238_46934,13429.273105719152,13,0.0,0.0,0.0,0.0,14348.38408954327,23606.36949937863,-10177.096393659478
3238_46978,16792.029021434297,13,0.0,0.0,0.0,0.0,15428.61602313702,23606.36949937863,-6814.3404779443335
3238_47003,19476.899639423078,13,1.0,0.0,0.0,0.0,18601.0791015625,34758.81665369953,-15281.917014276449
