grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,20863.91469476162,13,0.0,0.0,0.0,0.0,22185.92157451923,20347.695646557913,516.2190482037076
3052_46754,17908.95983573718,13,1.0,0.0,0.0,0.0,18561.77088341346,25155.62764156433,-7246.66780582715
3052_46756,405048.79607371794,13,0.0,1.0,0.0,0.0,408414.6298076923,122433.21663645047,282615.5794372675
3053_46755,39047.42074819712,13,0.0,0.0,1.0,0.0,40552.07151442308,30929.963443427314,8117.457304769803
3053_46756,359298.4893830129,13,1.0,1.0,0.0,0.0,358855.125,151361.62549736464,207936.86388564823
3054_46753,31595.614896334133,13,0.0,0.0,0.0,0.0,37312.925330528844,20347.695646557913,11247.91924977622
3054_46755,127928.48878205128,13,3.0,0.0,0.0,0.0,125922.14002403847,31099.56414861009,96828.92463344119
3055_46754,33880.87989533253,13,0.0,1.0,0.0,0.0,36741.380558894234,122433.21663645047,-88552.33674111794
3057_46762,32733.89985226362,13,1.0,0.0,0.0,0.0,30018.769981971152,25155.62764156433,7578.2722106992915
3106_46960,22983.313514122598,13,0.0,0.0,0.0,0.0,22156.154747596152,20347.695646557913,2635.6178675646843
3126_47008,18472.06830929487,13,0.0,0.0,0.0,0.0,18525.76817908654,20347.695646557913,-1875.6273372630421
3129_46988,20333.240985576922,13,0.0,0.0,0.0,0.0,19697.76983173077,20347.695646557913,-14.45466098099132
3146_46979,54036.07424379007,13,1.0,0.0,0.0,0.0,58089.928786057695,25155.62764156433,28880.44660222574
3149_47014,13216.92041015625,13,0.0,0.0,0.0,0.0,12247.386117788461,20347.695646557913,-7130.775236401663
3156_47014,18133.35460486779,13,0.0,0.0,0.0,0.0,15110.924429086539,20347.695646557913,-2214.3410416901243
3162_46902,16569.474665715145,13,0.0,0.0,0.0,0.0,15338.692908653846,20347.695646557913,-3778.2209808427688
3164_46999,14912.499104817709,13,0.0,0.0,0.0,0.0,14042.922701322115,20347.695646557913,-5435.196541740204
3170_46902,18796.32092598157,13,0.0,0.0,0.0,0.0,18539.23039362981,20347.695646557913,-1551.374720576343
3172_46989,30108.050455729168,13,0.0,0.0,0.0,0.0,25785.385516826922,20347.695646557913,9760.354809171255
3176_47014,22927.930463741985,13,0.0,0.0,0.0,0.0,22878.385216346152,20347.695646557913,2580.2348171840713
3183_46902,15380.719307141426,13,0.0,0.0,0.0,0.0,15903.537334735576,20347.695646557913,-4966.9763394164875
3186_46902,22463.53705929487,13,2.0,0.0,0.0,0.0,22325.690655048078,28478.786997352458,-6015.249938057586
3188_47014,23350.235864883813,13,0.0,0.0,0.0,0.0,25251.842247596152,20347.695646557913,3002.5402183258993
3190_46906,16240.67360902444,13,0.0,0.0,0.0,0.0,17456.154071514422,20347.695646557913,-4107.022037533474
3190_46978,11884.16043795072,13,0.0,0.0,0.0,0.0,10519.231708233174,20347.695646557913,-8463.535208607193
3201_46924,16127.436273036858,13,0.0,0.0,0.0,0.0,16075.691781850961,20347.695646557913,-4220.259373521056
3206_46983,13831.282045022035,13,0.0,0.0,0.0,0.0,13440.3818359375,20347.695646557913,-6516.413601535878
3208_46975,19974.251189403043,13,0.0,0.0,0.0,0.0,17887.38371394231,20347.695646557913,-373.4444571548702
3210_46983,15805.986716245992,13,0.0,0.0,0.0,0.0,15214.615609975961,20347.695646557913,-4541.708930311921
3214_46982,15931.344889322916,13,0.0,0.0,0.0,0.0,15970.46259014423,20347.695646557913,-4416.350757234997
3222_46975,17616.21481244992,13,0.0,0.0,0.0,0.0,17921.23182091346,20347.695646557913,-2731.4808341079915
3222_46983,18415.425693609777,13,1.0,0.0,0.0,0.0,17108.30596454327,25155.62764156433,-6740.201947954552
3222_47008,14962.421048677885,13,1.0,0.0,0.0,0.0,14605.38506610577,25155.62764156433,-10193.206592886445
3223_46832,37212.77534054487,13,0.0,0.0,2.0,0.0,34259.53695913462,39514.99283959264,-2302.2174990477724
3223_47015,25506.114658453524,13,0.0,0.0,0.0,0.0,21250.461688701922,20347.695646557913,5158.41901189561
3226_46885,54386.59567808493,13,0.0,0.0,0.0,0.0,52400.46484375,20347.695646557913,34038.90003152702
3228_46887,54392.88146033654,13,0.0,0.0,0.0,0.0,54127.081129807695,20347.695646557913,34045.185813778626
3235_47014,19132.093249198715,13,0.0,0.0,0.0,0.0,15032.308969350961,20347.695646557913,-1215.6023973591982
3236_46887,15868.683900490785,13,0.0,0.0,0.0,0.0,15543.92315204327,20347.695646557913,-4479.011746067128
3238_46925,14627.852000701123,13,0.0,0.0,0.0,0.0,14312.461162860576,20347.695646557913,-5719.84364585679
3238_46934,13429.273105719152,13,0.0,0.0,0.0,0.0,14348.38408954327,20347.695646557913,-6918.422540838761
3238_46978,16792.029021434297,13,0.0,0.0,0.0,0.0,15428.61602313702,20347.695646557913,-3555.6666251236165
3238_47003,19476.899639423078,13,1.0,0.0,0.0,0.0,18601.0791015625,25155.62764156433,-5678.728002141252
3239_46940,15455.39248422476,13,0.0,0.0,0.0,0.0,16077.38446514423,20347.695646557913,-4892.3031623331535
3240_46979,24447.486428285254,13,0.0,0.0,0.0,0.0,27625.620830829328,20347.695646557913,4099.790781727341
3242_46908,16234.357822516024,13,0.0,0.0,0.0,0.0,16604.692157451922,20347.695646557913,-4113.33782404189
3244_46887,12820.692551832934,13,0.0,0.0,0.0,0.0,11980.923490084135,20347.695646557913,-7527.00309472498
3245_46887,14010.298270983574,13,0.0,0.0,0.0,0.0,13219.308443509615,20347.695646557913,-6337.397375574339
3246_46910,13272.082450671072,13,0.0,0.0,0.0,0.0,13735.385967548076,20347.695646557913,-7075.613195886841
3256_47013,23129.35993840144,13,1.0,0.0,0.0,0.0,21840.002704326922,25155.62764156433,-2026.2677031628882
3257_47012,58979.26099258814,13,0.0,0.0,1.0,0.0,62264.995793269234,30929.963443427314,28049.297549160827
3286_46873,56725.674253806086,13,0.0,1.0,0.0,0.0,56176.457932692305,122433.21663645047,-65707.54238264437
3288_46928,20137.919227013223,13,0.0,0.0,0.0,0.0,26194.31084735577,20347.695646557913,-209.77641954469073
3289_46886,19291.48341095753,13,0.0,0.0,0.0,0.0,18433.538236177883,20347.695646557913,-1056.212235600382
3294_46886,18140.474947415867,13,1.0,0.0,0.0,0.0,17790.77155949519,25155.62764156433,-7015.152694148463
3295_46894,24198.672676282054,13,0.0,0.0,0.0,0.0,20292.769681490383,20347.695646557913,3850.977029724141
3295_46915,295676.22365785256,13,0.0,0.0,0.0,0.0,293090.77764423075,20347.695646557913,275328.52801129466
3296_46895,28992.707294170672,13,1.0,0.0,0.0,0.0,28823.611328125,25155.62764156433,3837.0796526063423
3296_46900,79344.0442207532,13,0.0,0.0,0.0,0.0,80477.98948317308,20347.695646557913,58996.34857419529
3299_46914,16699.65251903045,13,1.0,0.0,0.0,0.0,15094.076171875,25155.62764156433,-8455.97512253388
3302_46888,101069.13025841347,13,1.0,0.0,1.0,0.0,107887.23317307692,38238.243608361736,62830.88665005173
3303_47014,24962.76739032452,13,0.0,0.0,0.0,0.0,22258.07481971154,20347.695646557913,4615.071743766606
3307_46896,37316.48379907852,13,1.0,0.0,0.0,0.0,72893.08233173077,25155.62764156433,12160.856157514194
3308_46883,16181.230255909455,13,1.0,0.0,0.0,0.0,14827.307391826924,25155.62764156433,-8974.397385654875
3308_46893,20168.969933143027,13,0.0,0.0,0.0,0.0,23885.380108173078,20347.695646557913,-178.72571341488583
3310_46886,14368.495805789262,13,2.0,0.0,0.0,0.0,14165.613731971154,28478.786997352458,-14110.291191563196
3310_46891,41707.5964042468,13,0.0,0.0,0.0,0.0,39025.23302283654,20347.695646557913,21359.900757688883
3311_46880,56211.20622996795,13,0.0,0.0,1.0,0.0,54699.082331730766,30929.963443427314,25281.24278654064
3311_46889,19740.78315304487,13,5.0,0.0,0.0,0.0,19906.84855769231,35207.910155607606,-15467.127002562735
3311_47014,15291.00167142428,13,0.0,0.0,0.0,0.0,14304.846304086539,20347.695646557913,-5056.693975133634
3312_46884,15484.695068359375,13,0.0,0.0,0.0,0.0,15969.538912259615,20347.695646557913,-4863.000578198538
3312_46887,23384.875313000804,13,0.0,0.0,1.0,0.0,25605.53876201923,30929.963443427314,-7545.088130426509
3312_46894,46993.89393028846,13,1.0,0.0,0.0,0.0,13546.92080453726,25155.62764156433,21838.26628872413
3313_46884,16111.14773011819,13,0.0,0.0,1.0,0.0,16386.767127403848,30929.963443427314,-14818.815713309124
3313_46885,16065.679975460736,13,2.0,0.0,0.0,0.0,17945.61591045673,28478.786997352458,-12413.107021891721
3313_46887,17886.399971203926,13,1.0,0.0,0.0,0.0,20637.229942908652,25155.62764156433,-7269.227670360404
3314_46885,14876.955829326924,13,1.0,0.0,1.0,0.0,15865.386343149039,38238.243608361736,-23361.287779034814
3314_46887,12487.080810546875,13,1.0,0.0,0.0,0.0,12553.614633413461,25155.62764156433,-12668.546831017455
3314_46895,49430.82093850161,13,1.0,0.0,0.0,0.0,74957.2314453125,25155.62764156433,24275.19329693728
3315_46886,12565.173677884615,13,0.0,0.0,0.0,0.0,12154.462289663461,20347.695646557913,-7782.521968673298
3315_46939,9513.786974784654,13,0.0,0.0,1.0,0.0,7018.000356820913,30929.963443427314,-21416.17646864266
3316_46883,24810.058606270035,13,0.0,0.0,0.0,0.0,21147.766451322117,20347.695646557913,4462.362959712122
3316_46889,26427.320087139422,13,0.0,0.0,0.0,0.0,23783.15534855769,20347.695646557913,6079.624440581509
3317_46885,19022.088153545672,13,0.0,0.0,0.0,0.0,16187.538161057691,20347.695646557913,-1325.6074930122413
3318_46883,24294.27885867388,13,2.0,0.0,0.0,0.0,22953.765775240383,28478.786997352458,-4184.508138678579
3318_46884,66716.25575921474,13,1.0,0.0,0.0,0.0,64383.61899038462,25155.62764156433,41560.628117650405
3318_46889,46989.7926933093,13,1.0,0.0,0.0,0.0,46116.998497596156,25155.62764156433,21834.165051744967
3318_46891,31832.722005208332,13,0.0,0.0,1.0,0.0,33107.536658653844,30929.963443427314,902.7585617810182
3319_46883,84856.52954727564,13,2.0,0.0,2.0,0.0,69534.99849759616,55305.103084345435,29551.426462930205
3319_46884,54876.62459935897,13,0.0,0.0,0.0,0.0,55017.30979567308,20347.695646557913,34528.928952801056
3321_46887,17090.142365284453,13,1.0,0.0,0.0,0.0,15855.305889423076,25155.62764156433,-8065.485276279876
3344_46898,23981.625763721957,13,0.0,0.0,0.0,0.0,21593.69080528846,20347.695646557913,3633.9301171640436
3351_46983,13460.071764823719,13,1.0,0.0,0.0,0.0,12593.922325721154,25155.62764156433,-11695.555876740611
3353_46960,15702.456705729166,13,0.0,0.0,0.0,0.0,15502.69268329327,20347.695646557913,-4645.238940828747
3362_46978,14304.253173828125,13,0.0,0.0,0.0,0.0,13499.383188100961,20347.695646557913,-6043.442472729788
3364_46982,15732.07344876803,13,0.0,0.0,0.0,0.0,15111.074444110576,20347.695646557913,-4615.622197789884
3365_46984,19408.580053084934,13,0.0,0.0,0.0,0.0,17905.15362079327,20347.695646557913,-939.1155934729795
3375_47015,19607.00653545673,13,0.0,0.0,0.0,0.0,17495.924278846152,20347.695646557913,-740.6891111011828
3402_47015,14196.60586313101,13,0.0,0.0,0.0,0.0,13950.461838942309,20347.695646557913,-6151.0897834269035
3415_46968,20405.091095753207,13,0.0,0.0,0.0,0.0,20090.5380859375,20347.695646557913,57.39544919529362
