grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,20863.91469476162,13,0.0,0.0,0.0,0.0,22185.92157451923,24949.20327661098,-4085.2885818493596
3052_46754,17908.95983573718,13,1.0,0.0,0.0,0.0,18561.77088341346,34912.54090755987,-17003.581071822693
3052_46756,405048.79607371794,13,0.0,1.0,0.0,0.0,408414.6298076923,194929.51551850728,210119.28055521066
3053_46755,39047.42074819712,13,0.0,0.0,1.0,0.0,40552.07151442308,37772.181230749266,1275.2395174478515
3053_46756,359298.4893830129,13,1.0,1.0,0.0,0.0,358855.125,204892.85314945618,154405.6362335567
3054_46753,31595.614896334133,13,0.0,0.0,0.0,0.0,37312.925330528844,24949.20327661098,6646.411619723152
3054_46755,127928.48878205128,13,3.0,0.0,0.0,0.0,125922.14002403847,44875.87853850876,83052.61024354253
3055_46754,33880.87989533253,13,0.0,1.0,0.0,0.0,36741.380558894234,194929.51551850728,-161048.63562317475
3057_46762,32733.89985226362,13,1.0,0.0,0.0,0.0,30018.769981971152,34912.54090755987,-2178.6410552962516
3106_46960,22983.313514122598,13,0.0,0.0,0.0,0.0,22156.154747596152,24949.20327661098,-1965.889762488383
3126_47008,18472.06830929487,13,0.0,0.0,0.0,0.0,18525.76817908654,24949.20327661098,-6477.134967316109
3129_46988,20333.240985576922,13,0.0,0.0,0.0,0.0,19697.76983173077,24949.20327661098,-4615.962291034059
3146_46979,54036.07424379007,13,1.0,0.0,0.0,0.0,58089.928786057695,34912.54090755987,19123.533336230197
3149_47014,13216.92041015625,13,0.0,0.0,0.0,0.0,12247.386117788461,24949.20327661098,-11732.28286645473
3156_47014,18133.35460486779,13,0.0,0.0,0.0,0.0,15110.924429086539,24949.20327661098,-6815.8486717431915
3162_46902,16569.474665715145,13,0.0,0.0,0.0,0.0,15338.692908653846,24949.20327661098,-8379.728610895836
3164_46999,14912.499104817709,13,0.0,0.0,0.0,0.0,14042.922701322115,24949.20327661098,-10036.704171793272
3170_46902,18796.32092598157,13,0.0,0.0,0.0,0.0,18539.23039362981,24949.20327661098,-6152.88235062941
3172_46989,30108.050455729168,13,0.0,0.0,0.0,0.0,25785.385516826922,24949.20327661098,5158.847179118187
3176_47014,22927.930463741985,13,0.0,0.0,0.0,0.0,22878.385216346152,24949.20327661098,-2021.272812868996
3183_46902,15380.719307141426,13,0.0,0.0,0.0,0.0,15903.537334735576,24949.20327661098,-9568.483969469555
3186_46902,22463.53705929487,13,2.0,0.0,0.0,0.0,22325.690655048078,40740.71980368894,-18277.182744394067
3188_47014,23350.235864883813,13,0.0,0.0,0.0,0.0,25251.842247596152,24949.20327661098,-1598.967411727168
3190_46906,16240.67360902444,13,0.0,0.0,0.0,0.0,17456.154071514422,24949.20327661098,-8708.529667586541
3190_46978,11884.16043795072,13,0.0,0.0,0.0,0.0,10519.231708233174,24949.20327661098,-13065.04283866026
3201_46924,16127.436273036858,13,0.0,0.0,0.0,0.0,16075.691781850961,24949.20327661098,-8821.767003574123
3206_46983,13831.282045022035,13,0.0,0.0,0.0,0.0,13440.3818359375,24949.20327661098,-11117.921231588945
3208_46975,19974.251189403043,13,0.0,0.0,0.0,0.0,17887.38371394231,24949.20327661098,-4974.952087207937
3210_46983,15805.986716245992,13,0.0,0.0,0.0,0.0,15214.615609975961,24949.20327661098,-9143.216560364988
3214_46982,15931.344889322916,13,0.0,0.0,0.0,0.0,15970.46259014423,24949.20327661098,-9017.858387288064
3222_46975,17616.21481244992,13,0.0,0.0,0.0,0.0,17921.23182091346,24949.20327661098,-7332.988464161059
3222_46983,18415.425693609777,13,1.0,0.0,0.0,0.0,17108.30596454327,34912.54090755987,-16497.115213950095
3222_47008,14962.421048677885,13,1.0,0.0,0.0,0.0,14605.38506610577,34912.54090755987,-19950.11985888199
3223_46832,37212.77534054487,13,0.0,0.0,2.0,0.0,34259.53695913462,45273.14248149425,-8060.367140949384
3223_47015,25506.114658453524,13,0.0,0.0,0.0,0.0,21250.461688701922,24949.20327661098,556.911381842543
3226_46885,54386.59567808493,13,0.0,0.0,0.0,0.0,52400.46484375,24949.20327661098,29437.39240147395
3228_46887,54392.88146033654,13,0.0,0.0,0.0,0.0,54127.081129807695,24949.20327661098,29443.67818372556
3235_47014,19132.093249198715,13,0.0,0.0,0.0,0.0,15032.308969350961,24949.20327661098,-5817.1100274122655
3236_46887,15868.683900490785,13,0.0,0.0,0.0,0.0,15543.92315204327,24949.20327661098,-9080.519376120195
3238_46925,14627.852000701123,13,0.0,0.0,0.0,0.0,14312.461162860576,24949.20327661098,-10321.351275909858
3238_46934,13429.273105719152,13,0.0,0.0,0.0,0.0,14348.38408954327,24949.20327661098,-11519.930170891828
3238_46978,16792.029021434297,13,0.0,0.0,0.0,0.0,15428.61602313702,24949.20327661098,-8157.174255176684
3238_47003,19476.899639423078,13,1.0,0.0,0.0,0.0,18601.0791015625,34912.54090755987,-15435.641268136795
3239_46940,15455.39248422476,13,0.0,0.0,0.0,0.0,16077.38446514423,24949.20327661098,-9493.81079238622
3240_46979,24447.486428285254,13,0.0,0.0,0.0,0.0,27625.620830829328,24949.20327661098,-501.71684832572646
3242_46908,16234.357822516024,13,0.0,0.0,0.0,0.0,16604.692157451922,24949.20327661098,-8714.845454094957
3244_46887,12820.692551832934,13,0.0,0.0,0.0,0.0,11980.923490084135,24949.20327661098,-12128.510724778047
3245_46887,14010.298270983574,13,0.0,0.0,0.0,0.0,13219.308443509615,24949.20327661098,-10938.905005627406
3246_46910,13272.082450671072,13,0.0,0.0,0.0,0.0,13735.385967548076,24949.20327661098,-11677.120825939908
3256_47013,23129.35993840144,13,1.0,0.0,0.0,0.0,21840.002704326922,34912.54090755987,-11783.180969158431
3257_47012,58979.26099258814,13,0.0,0.0,1.0,0.0,62264.995793269234,37772.181230749266,21207.079761838875
3286_46873,56725.674253806086,13,0.0,1.0,0.0,0.0,56176.457932692305,194929.51551850728,-138203.8412647012
3288_46928,20137.919227013223,13,0.0,0.0,0.0,0.0,26194.31084735577,24949.20327661098,-4811.284049597758
3289_46886,19291.48341095753,13,0.0,0.0,0.0,0.0,18433.538236177883,24949.20327661098,-5657.719865653449
3294_46886,18140.474947415867,13,1.0,0.0,0.0,0.0,17790.77155949519,34912.54090755987,-16772.065960144006
3295_46894,24198.672676282054,13,0.0,0.0,0.0,0.0,20292.769681490383,24949.20327661098,-750.5306003289261
3295_46915,295676.22365785256,13,0.0,0.0,0.0,0.0,293090.77764423075,24949.20327661098,270727.0203812416
3296_46895,28992.707294170672,13,1.0,0.0,0.0,0.0,28823.611328125,34912.54090755987,-5919.833613389201
3296_46900,79344.0442207532,13,0.0,0.0,0.0,0.0,80477.98948317308,24949.20327661098,54394.84094414223
3299_46914,16699.65251903045,13,1.0,0.0,0.0,0.0,15094.076171875,34912.54090755987,-18212.888388529424
3302_46888,101069.13025841347,13,1.0,0.0,1.0,0.0,107887.23317307692,47735.518861698154,53333.611396715314
3303_47014,24962.76739032452,13,0.0,0.0,0.0,0.0,22258.07481971154,24949.20327661098,13.564113713538973
3307_46896,37316.48379907852,13,1.0,0.0,0.0,0.0,72893.08233173077,34912.54090755987,2403.942891518651
3308_46883,16181.230255909455,13,1.0,0.0,0.0,0.0,14827.307391826924,34912.54090755987,-18731.31065165042
3308_46893,20168.969933143027,13,0.0,0.0,0.0,0.0,23885.380108173078,24949.20327661098,-4780.233343467953
3310_46886,14368.495805789262,13,2.0,0.0,0.0,0.0,14165.613731971154,40740.71980368894,-26372.223997899677
3310_46891,41707.5964042468,13,0.0,0.0,0.0,0.0,39025.23302283654,24949.20327661098,16758.393127635816
3311_46880,56211.20622996795,13,0.0,0.0,1.0,0.0,54699.082331730766,37772.181230749266,18439.024999218687
3311_46889,19740.78315304487,13,5.0,0.0,0.0,0.0,19906.84855769231,50704.05743463783,-30963.274281592956
3311_47014,15291.00167142428,13,0.0,0.0,0.0,0.0,14304.846304086539,24949.20327661098,-9658.201605186701
3312_46884,15484.695068359375,13,0.0,0.0,0.0,0.0,15969.538912259615,24949.20327661098,-9464.508208251606
3312_46887,23384.875313000804,13,0.0,0.0,1.0,0.0,25605.53876201923,37772.181230749266,-14387.305917748461
3312_46894,46993.89393028846,13,1.0,0.0,0.0,0.0,13546.92080453726,34912.54090755987,12081.353022728588
3313_46884,16111.14773011819,13,0.0,0.0,1.0,0.0,16386.767127403848,37772.181230749266,-21661.033500631078
3313_46885,16065.679975460736,13,2.0,0.0,0.0,0.0,17945.61591045673,40740.71980368894,-24675.039828228204
3313_46887,17886.399971203926,13,1.0,0.0,0.0,0.0,20637.229942908652,34912.54090755987,-17026.140936355947
3314_46885,14876.955829326924,13,1.0,0.0,1.0,0.0,15865.386343149039,47735.518861698154,-32858.56303237123
3314_46887,12487.080810546875,13,1.0,0.0,0.0,0.0,12553.614633413461,34912.54090755987,-22425.460097012998
3314_46895,49430.82093850161,13,1.0,0.0,0.0,0.0,74957.2314453125,34912.54090755987,14518.280030941736
3315_46886,12565.173677884615,13,0.0,0.0,0.0,0.0,12154.462289663461,24949.20327661098,-12384.029598726365
3315_46939,9513.786974784654,13,0.0,0.0,1.0,0.0,7018.000356820913,37772.181230749266,-28258.39425596461
3316_46883,24810.058606270035,13,0.0,0.0,0.0,0.0,21147.766451322117,24949.20327661098,-139.1446703409456
3316_46889,26427.320087139422,13,0.0,0.0,0.0,0.0,23783.15534855769,24949.20327661098,1478.1168105284414
3317_46885,19022.088153545672,13,0.0,0.0,0.0,0.0,16187.538161057691,24949.20327661098,-5927.115123065309
3318_46883,24294.27885867388,13,2.0,0.0,0.0,0.0,22953.765775240383,40740.71980368894,-16446.44094501506
3318_46884,66716.25575921474,13,1.0,0.0,0.0,0.0,64383.61899038462,34912.54090755987,31803.714851654862
3318_46889,46989.7926933093,13,1.0,0.0,0.0,0.0,46116.998497596156,34912.54090755987,12077.251785749424
3318_46891,31832.722005208332,13,0.0,0.0,1.0,0.0,33107.536658653844,37772.181230749266,-5939.459225540933
3319_46883,84856.52954727564,13,2.0,0.0,2.0,0.0,69534.99849759616,61064.659008572205,23791.870538703435
3319_46884,54876.62459935897,13,0.0,0.0,0.0,0.0,55017.30979567308,24949.20327661098,29927.42132274799
3321_46887,17090.142365284453,13,1.0,0.0,0.0,0.0,15855.305889423076,34912.54090755987,-17822.39854227542
3344_46898,23981.625763721957,13,0.0,0.0,0.0,0.0,21593.69080528846,24949.20327661098,-967.5775128890236
3351_46983,13460.071764823719,13,1.0,0.0,0.0,0.0,12593.922325721154,34912.54090755987,-21452.469142736154
3353_46960,15702.456705729166,13,0.0,0.0,0.0,0.0,15502.69268329327,24949.20327661098,-9246.746570881814
3362_46978,14304.253173828125,13,0.0,0.0,0.0,0.0,13499.383188100961,24949.20327661098,-10644.950102782856
3364_46982,15732.07344876803,13,0.0,0.0,0.0,0.0,15111.074444110576,24949.20327661098,-9217.129827842951
3365_46984,19408.580053084934,13,0.0,0.0,0.0,0.0,17905.15362079327,24949.20327661098,-5540.623223526047
3375_47015,19607.00653545673,13,0.0,0.0,0.0,0.0,17495.924278846152,24949.20327661098,-5342.19674115425
3402_47015,14196.60586313101,13,0.0,0.0,0.0,0.0,13950.461838942309,24949.20327661098,-10752.59741347997
3415_46968,20405.091095753207,13,0.0,0.0,0.0,0.0,20090.5380859375,24949.20327661098,-4544.112180857774
