grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,20863.91469476162,13,0.0,0.0,0.0,0.0,22185.92157451923,20387.114249775917,476.8004449857035
3052_46754,17908.95983573718,13,1.0,0.0,0.0,0.0,18561.77088341346,25152.160999206197,-7243.201163469017
3052_46756,405048.79607371794,13,0.0,1.0,0.0,0.0,408414.6298076923,120631.4217877179,284417.37428600003
3053_46755,39047.42074819712,13,0.0,0.0,1.0,0.0,40552.07151442308,30855.542367055878,8191.8783811412395
3053_46756,359298.4893830129,13,1.0,1.0,0.0,0.0,358855.125,148825.2567973383,210473.23258567456
3054_46753,31595.614896334133,13,0.0,0.0,0.0,0.0,37312.925330528844,20387.114249775917,11208.500646558216
3054_46755,127928.48878205128,13,3.0,0.0,0.0,0.0,125922.14002403847,31030.879677589233,96897.60910446206
3055_46754,33880.87989533253,13,0.0,1.0,0.0,0.0,36741.380558894234,120631.4217877179,-86750.54189238537
3057_46762,32733.89985226362,13,1.0,0.0,0.0,0.0,30018.769981971152,25152.160999206197,7581.738853057424
3106_46960,22983.313514122598,13,0.0,0.0,0.0,0.0,22156.154747596152,20387.114249775917,2596.19926434668
3126_47008,18472.06830929487,13,0.0,0.0,0.0,0.0,18525.76817908654,20387.114249775917,-1915.0459404810463
3129_46988,20333.240985576922,13,0.0,0.0,0.0,0.0,19697.76983173077,20387.114249775917,-53.87326419899546
3146_46979,54036.07424379007,13,1.0,0.0,0.0,0.0,58089.928786057695,25152.160999206197,28883.913244583873
3149_47014,13216.92041015625,13,0.0,0.0,0.0,0.0,12247.386117788461,20387.114249775917,-7170.193839619667
3156_47014,18133.35460486779,13,0.0,0.0,0.0,0.0,15110.924429086539,20387.114249775917,-2253.7596449081284
3162_46902,16569.474665715145,13,0.0,0.0,0.0,0.0,15338.692908653846,20387.114249775917,-3817.639584060773
3164_46999,14912.499104817709,13,0.0,0.0,0.0,0.0,14042.922701322115,20387.114249775917,-5474.6151449582085
3170_46902,18796.32092598157,13,0.0,0.0,0.0,0.0,18539.23039362981,20387.114249775917,-1590.793323794347
3172_46989,30108.050455729168,13,0.0,0.0,0.0,0.0,25785.385516826922,20387.114249775917,9720.93620595325
