grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,19549.863494873047,8,0.0,0.0,0.0,0.0,17674.750366210938,20816.030623321043,-1266.1671284479962
3052_46754,21845.691528320312,8,1.0,0.0,0.0,0.0,17665.376220703125,25829.029008417125,-3983.337480096812
3052_46756,441935.2294921875,8,0.0,1.0,0.0,0.0,389144.89453125,127271.91276355558,314663.3167286319
3053_46755,43343.09655761719,8,0.0,0.0,1.0,0.0,38404.87548828125,32805.62407739703,10537.47248022016
3053_46756,393530.7379557292,8,1.0,1.0,0.0,0.0,334249.0703125,157920.8039380449,235609.93401768428
3054_46753,30959.949096679688,8,0.0,0.0,0.0,0.0,30065.12109375,20816.030623321043,10143.918473358644
3054_46755,155647.6103515625,8,3.0,0.0,0.0,0.0,119301.2587890625,32049.219392396284,123598.39095916622
3055_46754,31144.49141438802,8,0.0,1.0,0.0,0.0,32493.133544921875,127271.91276355558,-96127.42134916756
3057_46762,38004.4277750651,8,1.0,0.0,0.0,0.0,29103.87548828125,25829.029008417125,12175.398766647977
3106_46960,24360.941263834633,8,0.0,0.0,0.0,0.0,23754.875244140625,20816.030623321043,3544.91064051359
3126_47008,18465.32187906901,8,0.0,0.0,0.0,0.0,22339.12744140625,20816.030623321043,-2350.7087442520315
3129_46988,22580.061462402344,8,0.0,0.0,0.0,0.0,19248.126220703125,20816.030623321043,1764.0308390813007
3146_46979,59248.29960123698,8,1.0,0.0,0.0,0.0,57123.87646484375,25829.029008417125,33419.270592819856
3149_47014,15519.606160481771,8,0.0,0.0,0.0,0.0,14917.62646484375,20816.030623321043,-5296.424462839272
3156_47014,22320.989339192707,8,0.0,0.0,0.0,0.0,20539.251220703125,20816.030623321043,1504.958715871664
3162_46902,16463.250895182293,8,0.0,0.0,0.0,0.0,17375.125854492188,20816.030623321043,-4352.77972813875
3164_46999,16029.013926188152,8,0.0,0.0,0.0,0.0,16939.24853515625,20816.030623321043,-4787.016697132891
3170_46902,18296.443939208984,8,0.0,0.0,0.0,0.0,20802.997802734375,20816.030623321043,-2519.5866841120587
3172_46989,24450.523539225258,8,0.0,0.0,0.0,0.0,32588.7568359375,20816.030623321043,3634.492915904215
3176_47014,23306.893412272133,8,0.0,0.0,0.0,0.0,24330.250244140625,20816.030623321043,2490.86278895109
3183_46902,15092.967610677082,8,0.0,0.0,0.0,0.0,16108.998413085938,20816.030623321043,-5723.063012643961
3186_46902,22365.820597330727,8,2.0,0.0,0.0,0.0,24182.369384765625,29303.846845811808,-6938.026248481081
3188_47014,26530.636983235676,8,0.0,0.0,0.0,0.0,28308.5029296875,20816.030623321043,5714.606359914633
3190_46906,16559.322072347004,8,0.0,0.0,0.0,0.0,17934.748413085938,20816.030623321043,-4256.708550974039
3190_46978,11751.07874552409,8,0.0,0.0,0.0,0.0,12926.62646484375,20816.030623321043,-9064.951877796953
3201_46924,15456.547098795572,8,0.0,0.0,0.0,0.0,17007.623901367188,20816.030623321043,-5359.483524525471
3206_46983,14090.19687906901,8,0.0,0.0,0.0,0.0,14114.87548828125,20816.030623321043,-6725.833744252033
3208_46975,21648.720560709633,8,0.0,0.0,0.0,0.0,20689.3740234375,20816.030623321043,832.6899373885899
3210_46983,16106.164652506512,8,0.0,0.0,0.0,0.0,16642.748779296875,20816.030623321043,-4709.8659708145315
3214_46982,16390.696716308594,8,0.0,0.0,0.0,0.0,16186.997924804688,20816.030623321043,-4425.333907012449
3222_46975,16686.711385091145,8,0.0,0.0,0.0,0.0,20843.249755859375,20816.030623321043,-4129.3192382298985
3222_46983,20002.504048665363,8,1.0,0.0,0.0,0.0,19643.998291015625,25829.029008417125,-5826.524959751761
3222_47008,14500.511932373047,8,1.0,0.0,0.0,0.0,15882.123168945312,25829.029008417125,-11328.517076044078
3223_46832,40015.27783203125,8,0.0,0.0,2.0,0.0,40967.005859375,42806.18304214919,-2790.9052101179404
3223_47015,26160.082987467445,8,0.0,0.0,0.0,0.0,33439.744140625,20816.030623321043,5344.052364146402
3226_46885,58091.3583984375,8,0.0,0.0,0.0,0.0,63748.75146484375,20816.030623321043,37275.32777511646
3228_46887,60262.22591145833,8,0.0,0.0,0.0,0.0,63727.25146484375,20816.030623321043,39446.195288137285
3235_47014,24416.05164591471,8,0.0,0.0,0.0,0.0,19313.002685546875,20816.030623321043,3600.021022593668
3236_46887,16351.784352620441,8,0.0,0.0,0.0,0.0,16771.000244140625,20816.030623321043,-4464.246270700602
3238_46925,14575.28697713216,8,0.0,0.0,0.0,0.0,15472.374877929688,20816.030623321043,-6240.743646188883
3238_46934,13480.33411661784,8,0.0,0.0,0.0,0.0,15045.001098632812,20816.030623321043,-7335.696506703203
3238_46978,17112.52767944336,8,0.0,0.0,0.0,0.0,18615.12451171875,20816.030623321043,-3703.5029438776837
3238_47003,18733.770365397133,8,1.0,0.0,0.0,0.0,21335.621826171875,25829.029008417125,-7095.258643019992
3239_46940,15239.73725382487,8,0.0,0.0,0.0,0.0,16154.625854492188,20816.030623321043,-5576.293369496174
3240_46979,16929.845001220703,8,0.0,0.0,0.0,0.0,34931.121337890625,20816.030623321043,-3886.18562210034
3242_46908,16063.46694946289,8,0.0,0.0,0.0,0.0,17044.000732421875,20816.030623321043,-4752.5636738581525
3244_46887,14055.150309244793,8,0.0,0.0,0.0,0.0,13401.126586914062,20816.030623321043,-6760.88031407625
3245_46887,14941.065999348959,8,0.0,0.0,0.0,0.0,15283.123291015625,20816.030623321043,-5874.964623972084
3246_46910,13936.200134277344,8,0.0,0.0,0.0,0.0,14007.24951171875,20816.030623321043,-6879.830489043699
3256_47013,29508.756225585938,8,1.0,0.0,0.0,0.0,26043.752197265625,25829.029008417125,3679.727217168813
3257_47012,61303.27884928386,8,0.0,0.0,1.0,0.0,60767.3798828125,32805.62407739703,28497.65477188683
3286_46873,60524.02083333333,8,0.0,1.0,0.0,0.0,58637.87841796875,127271.91276355558,-66747.89193022225
3288_46928,17492.415008544922,8,0.0,0.0,0.0,0.0,18954.0029296875,20816.030623321043,-3323.615614776121
3289_46886,22261.26359049479,8,0.0,0.0,0.0,0.0,20998.1220703125,20816.030623321043,1445.2329671737461
3294_46886,18979.71196492513,8,1.0,0.0,0.0,0.0,20826.000244140625,25829.029008417125,-6849.317043491996
3295_46894,25672.116760253906,8,0.0,0.0,0.0,0.0,30666.630126953125,20816.030623321043,4856.086136932863
3295_46915,272584.44514973956,8,0.0,0.0,0.0,0.0,327719.736328125,20816.030623321043,251768.41452641852
3296_46895,33461.040364583336,8,1.0,0.0,0.0,0.0,29878.249267578125,25829.029008417125,7632.011356166211
3296_46900,76798.52685546875,8,0.0,0.0,0.0,0.0,87091.37890625,20816.030623321043,55982.49623214771
3299_46914,17594.03232828776,8,1.0,0.0,0.0,0.0,19619.37841796875,25829.029008417125,-8234.996680129363
3302_46888,106458.51489257812,8,1.0,0.0,1.0,0.0,105864.353515625,40705.864822405354,65752.65007017276
3303_47014,30548.225362141926,8,0.0,0.0,0.0,0.0,26405.375244140625,20816.030623321043,9732.194738820883
