grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment
3049_46756,19016.467867337742,13,0.0,0.0,0.0,0.0,22185.92157451923,20020.86714625119,-1004.3992789134463
3052_46754,17700.38398938301,13,1.0,0.0,0.0,0.0,18561.77088341346,24123.51305048859,-6423.129061105577
3052_46756,392260.42988782056,13,0.0,1.0,0.0,0.0,408414.6298076923,120953.28102408425,271307.1488637363
3053_46755,39166.94165665064,13,0.0,0.0,1.0,0.0,40552.07151442308,30916.23235222246,8250.70930442818
3053_46756,343956.45993589744,13,1.0,1.0,0.0,0.0,358855.125,145737.8119581211,198218.64797777633
3054_46753,31206.68896484375,13,0.0,0.0,0.0,0.0,37312.925330528844,20020.86714625119,11185.821818592562
3054_46755,121511.92497996794,13,3.0,0.0,0.0,0.0,125922.14002403847,29066.824977160737,92445.1000028072
3055_46754,33941.4625400641,13,0.0,1.0,0.0,0.0,36741.380558894234,120953.28102408425,-87011.81848402016
3057_46762,32358.509302383813,13,1.0,0.0,0.0,0.0,30018.769981971152,24123.51305048859,8234.996251895223
3106_46960,22970.792655749196,13,0.0,0.0,0.0,0.0,22156.154747596152,20020.86714625119,2949.925509498007
3126_47008,19457.206999949918,13,0.0,0.0,0.0,0.0,18525.76817908654,20020.86714625119,-563.6601463012703
3129_46988,20181.4983974359,13,0.0,0.0,0.0,0.0,19697.76983173077,20020.86714625119,160.63125118470998
3146_46979,54809.33283253205,13,1.0,0.0,0.0,0.0,58089.928786057695,24123.51305048859,30685.819782043458
3149_47014,13280.513070913461,13,0.0,0.0,0.0,0.0,12247.386117788461,20020.86714625119,-6740.354075337727
3156_47014,17564.415189302883,13,0.0,0.0,0.0,0.0,15110.924429086539,20020.86714625119,-2456.4519569483055
3162_46902,16087.912109375,13,0.0,0.0,0.0,0.0,15338.692908653846,20020.86714625119,-3932.9550368761884
3164_46999,15018.553867437902,13,0.0,0.0,0.0,0.0,14042.922701322115,20020.86714625119,-5002.313278813286
3170_46902,19117.84784405048,13,0.0,0.0,0.0,0.0,18539.23039362981,20020.86714625119,-903.0193022007079
3172_46989,28453.62640224359,13,0.0,0.0,0.0,0.0,25785.385516826922,20020.86714625119,8432.759255992401
3176_47014,22862.900353064902,13,0.0,0.0,0.0,0.0,22878.385216346152,20020.86714625119,2842.033206813714
3183_46902,15342.156387720352,13,0.0,0.0,0.0,0.0,15903.537334735576,20020.86714625119,-4678.710758530837
3186_46902,22282.637432391828,13,2.0,0.0,0.0,0.0,22325.690655048078,26902.798331542315,-4620.160899150487
3188_47014,24932.251677684293,13,0.0,0.0,0.0,0.0,25251.842247596152,20020.86714625119,4911.384531433105
3190_46906,16506.40242513021,13,0.0,0.0,0.0,0.0,17456.154071514422,20020.86714625119,-3514.4647211209776
3190_46978,11238.218825120191,13,0.0,0.0,0.0,0.0,10519.231708233174,20020.86714625119,-8782.648321130997
3201_46924,15101.959854517228,13,0.0,0.0,0.0,0.0,16075.691781850961,20020.86714625119,-4918.90729173396
3206_46983,13672.04959810697,13,0.0,0.0,0.0,0.0,13440.3818359375,20020.86714625119,-6348.817548144218
3208_46975,19859.02562850561,13,0.0,0.0,0.0,0.0,17887.38371394231,20020.86714625119,-161.84151774557904
3210_46983,15024.084528996395,13,0.0,0.0,0.0,0.0,15214.615609975961,20020.86714625119,-4996.782617254794
3214_46982,15926.743345602965,13,0.0,0.0,0.0,0.0,15970.46259014423,20020.86714625119,-4094.1238006482236
3222_46975,17864.04782026242,13,0.0,0.0,0.0,0.0,17921.23182091346,20020.86714625119,-2156.8193259887666
3222_46983,17752.68419471154,13,1.0,0.0,0.0,0.0,17108.30596454327,24123.51305048859,-6370.82885577705
3222_47008,14815.092260116186,13,1.0,0.0,0.0,0.0,14605.38506610577,24123.51305048859,-9308.420790372404
3223_46832,36332.32330478766,13,0.0,0.0,2.0,0.0,34259.53695913462,39862.985303285444,-3530.661998497788
3223_47015,24305.80950771234,13,0.0,0.0,0.0,0.0,21250.461688701922,20020.86714625119,4284.942361461151
3226_46885,54540.433067908656,13,0.0,0.0,0.0,0.0,52400.46484375,20020.86714625119,34519.56592165747
3228_46887,55008.946339142625,13,0.0,0.0,0.0,0.0,54127.081129807695,20020.86714625119,34988.07919289144
3235_47014,15942.523212139424,13,0.0,0.0,0.0,0.0,15032.308969350961,20020.86714625119,-4078.3439341117646
3236_46887,16445.889967698316,13,0.0,0.0,0.0,0.0,15543.92315204327,20020.86714625119,-3574.977178552872
3238_46925,14730.889642177483,13,0.0,0.0,0.0,0.0,14312.461162860576,20020.86714625119,-5289.977504073706
3238_46934,13334.890837840545,13,0.0,0.0,0.0,0.0,14348.38408954327,20020.86714625119,-6685.9763084106435
3238_46978,16152.63854667468,13,0.0,0.0,0.0,0.0,15428.61602313702,20020.86714625119,-3868.2285995765087
3238_47003,18407.751759064504,13,1.0,0.0,0.0,0.0,18601.0791015625,24123.51305048859,-5715.761291424085
3239_46940,15486.46755433694,13,0.0,0.0,0.0,0.0,16077.38446514423,20020.86714625119,-4534.399591914249
3240_46979,24054.880033052883,13,0.0,0.0,0.0,0.0,27625.620830829328,20020.86714625119,4034.0128868016945
3242_46908,15868.395000751201,13,0.0,0.0,0.0,0.0,16604.692157451922,20020.86714625119,-4152.472145499987
3244_46887,12759.043256710738,13,0.0,0.0,0.0,0.0,11980.923490084135,20020.86714625119,-7261.82388954045
3245_46887,13854.489389272836,13,0.0,0.0,0.0,0.0,13219.308443509615,20020.86714625119,-6166.377756978352
3246_46910,13498.309069511219,13,0.0,0.0,0.0,0.0,13735.385967548076,20020.86714625119,-6522.55807673997
3256_47013,21671.58607522035,13,1.0,0.0,0.0,0.0,21840.002704326922,24123.51305048859,-2451.9269752682376
3257_47012,57527.12284655449,13,0.0,0.0,1.0,0.0,62264.995793269234,30916.23235222246,26610.89049433203
3286_46873,56703.13869691507,13,0.0,1.0,0.0,0.0,56176.457932692305,120953.28102408425,-64250.14232716918
3288_46928,20080.34251677684,13,0.0,0.0,0.0,0.0,26194.31084735577,20020.86714625119,59.47537052565167
3289_46886,18067.97599283854,13,0.0,0.0,0.0,0.0,18433.538236177883,20020.86714625119,-1952.8911534126491
3294_46886,18333.735595703125,13,1.0,0.0,0.0,0.0,17790.77155949519,24123.51305048859,-5789.777454785464
3295_46894,24172.770783253207,13,0.0,0.0,0.0,0.0,20292.769681490383,20020.86714625119,4151.9036370020185
3295_46915,286848.27874599356,13,0.0,0.0,0.0,0.0,293090.77764423075,20020.86714625119,266827.41159974237
3296_46895,28405.344751602563,13,1.0,0.0,0.0,0.0,28823.611328125,24123.51305048859,4281.831701113973
3296_46900,82429.50881410256,13,0.0,0.0,0.0,0.0,80477.98948317308,20020.86714625119,62408.64166785138
3299_46914,16490.40237505008,13,1.0,0.0,0.0,0.0,15094.076171875,24123.51305048859,-7633.110675438511
3302_46888,101206.17553084936,13,1.0,0.0,1.0,0.0,107887.23317307692,37251.42855313976,63954.7469777096
3303_47014,23923.67174979968,13,0.0,0.0,0.0,0.0,22258.07481971154,20020.86714625119,3902.8046035484913
3307_46896,29281.98237179487,13,1.0,0.0,0.0,0.0,72893.08233173077,24123.51305048859,5158.469321306282
3308_46883,15453.977094601363,13,1.0,0.0,0.0,0.0,14827.307391826924,24123.51305048859,-8669.535955887226
3308_46893,19101.743627303684,13,0.0,0.0,0.0,0.0,23885.380108173078,20020.86714625119,-919.1235189475046
3310_46886,14046.411502153445,13,2.0,0.0,0.0,0.0,14165.613731971154,26902.798331542315,-12856.38682938887
3310_46891,39615.33250701122,13,0.0,0.0,0.0,0.0,39025.23302283654,20020.86714625119,19594.46536076003
3311_46880,57409.9580078125,13,0.0,0.0,1.0,0.0,54699.082331730766,30916.23235222246,26493.72565559004
3311_46889,19089.840244391024,13,5.0,0.0,0.0,0.0,19906.84855769231,32415.608761612395,-13325.768517221371
3311_47014,15552.132818760017,13,0.0,0.0,0.0,0.0,14304.846304086539,20020.86714625119,-4468.734327491171
3312_46884,15422.658284505207,13,0.0,0.0,0.0,0.0,15969.538912259615,20020.86714625119,-4598.208861745981
3312_46887,23466.280498798078,13,0.0,0.0,1.0,0.0,25605.53876201923,30916.23235222246,-7449.951853424383
3312_46894,32286.826090494793,13,1.0,0.0,0.0,0.0,13546.92080453726,24123.51305048859,8163.313040006204
3313_46884,16049.316381209936,13,0.0,0.0,1.0,0.0,16386.767127403848,30916.23235222246,-14866.915971012526
3313_46885,16089.233748998397,13,2.0,0.0,0.0,0.0,17945.61591045673,26902.798331542315,-10813.564582543919
3313_46887,18057.42195012019,13,1.0,0.0,0.0,0.0,20637.229942908652,24123.51305048859,-6066.091100368398
3314_46885,14588.945813301281,13,1.0,0.0,1.0,0.0,15865.386343149039,37251.42855313976,-22662.48273983848
3314_46887,11482.016564002404,13,1.0,0.0,0.0,0.0,12553.614633413461,24123.51305048859,-12641.496486486185
3314_46895,33078.93202874599,13,1.0,0.0,0.0,0.0,74957.2314453125,24123.51305048859,8955.418978257403
3315_46886,11667.400284204728,13,0.0,0.0,0.0,0.0,12154.462289663461,20020.86714625119,-8353.46686204646
3315_46939,9844.388718825121,13,0.0,0.0,1.0,0.0,7018.000356820913,30916.23235222246,-21071.84363339734
3316_46883,24106.441080729168,13,0.0,0.0,0.0,0.0,21147.766451322117,20020.86714625119,4085.5739344779795
3316_46889,26467.535319010418,13,0.0,0.0,0.0,0.0,23783.15534855769,20020.86714625119,6446.6681727592295
3317_46885,20626.18384415064,13,0.0,0.0,0.0,0.0,16187.538161057691,20020.86714625119,605.3166978994523
3318_46883,23918.447065304485,13,2.0,0.0,0.0,0.0,22953.765775240383,26902.798331542315,-2984.3512662378307
3318_46884,67140.59119591347,13,1.0,0.0,0.0,0.0,64383.61899038462,24123.51305048859,43017.07814542488
3318_46889,46924.902669270836,13,1.0,0.0,0.0,0.0,46116.998497596156,24123.51305048859,22801.389618782247
3318_46891,32066.98884465144,13,0.0,0.0,1.0,0.0,33107.536658653844,30916.23235222246,1150.75649242898
3319_46883,80874.61052684294,13,2.0,0.0,2.0,0.0,69534.99849759616,53565.06421654172,27309.546310301215
3319_46884,55138.56908553686,13,0.0,0.0,0.0,0.0,55017.30979567308,20020.86714625119,35117.701939285675
3321_46887,17733.71275290465,13,1.0,0.0,0.0,0.0,15855.305889423076,24123.51305048859,-6389.800297583941
3344_46898,23974.70678084936,13,0.0,0.0,0.0,0.0,21593.69080528846,20020.86714625119,3953.839634598171
3351_46983,13555.081830929488,13,1.0,0.0,0.0,0.0,12593.922325721154,24123.51305048859,-10568.431219559101
3353_46960,15705.814284104566,13,0.0,0.0,0.0,0.0,15502.69268329327,20020.86714625119,-4315.052862146622
3362_46978,13917.5045698117,13,0.0,0.0,0.0,0.0,13499.383188100961,20020.86714625119,-6103.362576439489
3364_46982,15700.90448467548,13,0.0,0.0,0.0,0.0,15111.074444110576,20020.86714625119,-4319.962661575708
3365_46984,19757.641745542867,13,0.0,0.0,0.0,0.0,17905.15362079327,20020.86714625119,-263.2254007083211
3375_47015,18614.371381710735,13,0.0,0.0,0.0,0.0,17495.924278846152,20020.86714625119,-1406.4957645404538
3402_47015,14109.965814052486,13,0.0,0.0,0.0,0.0,13950.461838942309,20020.86714625119,-5910.901332198702
3415_46968,20576.664525741187,13,0.0,0.0,0.0,0.0,20090.5380859375,20020.86714625119,555.797379489999
