grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3052_46756,441935.2294921875,127271.91276355558,314663.3167286319,8,0.0,1.0,0.0,0.0,transport,public_service,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3295_46915,272584.4451497396,20816.030623321043,251768.4145264185,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3053_46756,393530.7379557292,157920.8039380449,235609.93401768428,8,1.0,1.0,0.0,0.0,transport,life,economy,public_service,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46755,155647.6103515625,32049.219392396284,123598.39095916622,8,3.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3302_46888,106458.51489257812,40705.86482240536,65752.65007017276,8,1.0,0.0,1.0,0.0,economy,life,transport,public_service,0.525,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3296_46900,76798.52685546875,20816.030623321043,55982.49623214771,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3318_46884,74748.05102539062,25829.029008417125,48919.0220169735,8,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46884,61493.25280761719,20816.030623321043,40677.222184296144,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46883,99791.84350585938,60260.13741435638,39531.706091502994,8,2.0,0.0,2.0,0.0,economy,life,transport,public_service,0.525,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3228_46887,60262.22591145833,20816.030623321043,39446.195288137285,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3226_46885,58091.3583984375,20816.030623321043,37275.32777511646,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3146_46979,59248.29960123698,25829.029008417125,33419.270592819856,8,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3257_47012,61303.27884928386,32805.62407739703,28497.65477188683,8,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3318_46889,53029.95670572917,25829.029008417125,27200.92769731204,8,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3310_46891,44477.11385091145,20816.030623321043,23661.08322759041,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3311_46880,55051.32857259114,32805.62407739703,22245.704495194117,8,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3312_46894,40022.95876057943,25829.029008417125,14193.929752162305,8,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3057_46762,38004.4277750651,25829.029008417125,12175.398766647975,8,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,False,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3053_46755,43343.09655761719,32805.62407739703,10537.47248022016,8,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46753,30959.949096679688,20816.030623321043,10143.918473358644,8,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.7,True,False,True,True,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
