grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3052_46756,392260.42988782056,120953.28102408424,271307.1488637363,13,0.0,1.0,0.0,0.0,transport,public_service,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3295_46915,286848.2787459936,20020.86714625119,266827.4115997424,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3053_46756,343956.45993589744,145737.8119581211,198218.64797777636,13,1.0,1.0,0.0,0.0,transport,life,economy,public_service,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46755,121511.92497996794,29066.824977160737,92445.1000028072,13,3.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3302_46888,101206.17553084936,37251.42855313976,63954.7469777096,13,1.0,0.0,1.0,0.0,economy,life,transport,public_service,0.525,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3296_46900,82429.50881410256,20020.86714625119,62408.64166785138,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3318_46884,67140.59119591347,24123.51305048859,43017.07814542488,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46884,55138.56908553686,20020.86714625119,35117.701939285675,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3228_46887,55008.94633914263,20020.86714625119,34988.07919289144,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3226_46885,54540.433067908656,20020.86714625119,34519.56592165747,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3146_46979,54809.33283253205,24123.51305048859,30685.819782043454,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46883,80874.61052684294,53565.06421654172,27309.54631030121,13,2.0,0.0,2.0,0.0,economy,life,transport,public_service,0.525,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3257_47012,57527.12284655449,30916.23235222246,26610.89049433203,13,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3311_46880,57409.9580078125,30916.23235222246,26493.72565559004,13,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3318_46889,46924.90266927084,24123.51305048859,22801.389618782247,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3310_46891,39615.33250701122,20020.86714625119,19594.46536076003,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46753,31206.68896484375,20020.86714625119,11185.821818592562,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3314_46895,33078.93202874599,24123.51305048859,8955.418978257403,13,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3172_46989,28453.62640224359,20020.86714625119,8432.759255992401,13,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3053_46755,39166.94165665064,30916.23235222246,8250.70930442818,13,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
