grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_negative
3055_46754,31144.49141438802,8,0.0,1.0,0.0,0.0,32493.133544921875,127271.91276355558,-96127.42134916756,1
3286_46873,60524.02083333333,8,0.0,1.0,0.0,0.0,58637.87841796875,127271.91276355558,-66747.89193022225,2
3314_46885,15187.691029866535,8,1.0,0.0,1.0,0.0,15233.99951171875,40705.86482240536,-25518.17379253882,3
3315_46939,11674.106547037762,8,0.0,0.0,1.0,0.0,12645.625366210938,32805.62407739703,-21131.517530359262,4
3311_46889,19891.974283854164,8,5.0,0.0,0.0,0.0,21071.1259765625,36360.8163325631,-16468.84204870894,5
3313_46884,16965.53525797526,8,0.0,0.0,1.0,0.0,16048.501342773438,32805.62407739703,-15840.088819421766,6
3310_46886,15122.259684244793,8,2.0,0.0,0.0,0.0,14574.502075195312,29303.846845811808,-14181.587161567017,7
3313_46885,15475.57701619466,8,2.0,0.0,0.0,0.0,15742.626586914062,29303.846845811808,-13828.269829617147,8
3351_46983,12790.18716430664,8,1.0,0.0,0.0,0.0,13301.876342773438,25829.029008417125,-13038.841844110484,9
3314_46887,13801.021708170572,8,1.0,0.0,0.0,0.0,10801.125244140623,25829.029008417125,-12028.007300246552,10
3222_47008,14500.511932373049,8,1.0,0.0,0.0,0.0,15882.123168945312,25829.029008417125,-11328.517076044078,11
3308_46883,14815.939778645832,8,1.0,0.0,0.0,0.0,15600.750366210938,25829.029008417125,-11013.089229771293,12
3312_46887,22715.76534016927,8,0.0,0.0,1.0,0.0,25074.373046875,32805.62407739703,-10089.858737227758,13
3190_46978,11751.07874552409,8,0.0,0.0,0.0,0.0,12926.62646484375,20816.030623321043,-9064.951877796952,14
3315_46886,12420.660227457682,8,0.0,0.0,0.0,0.0,13196.750244140623,20816.030623321043,-8395.370395863361,15
3299_46914,17594.03232828776,8,1.0,0.0,0.0,0.0,19619.37841796875,25829.029008417125,-8234.996680129363,16
3321_46887,17938.75272623698,8,1.0,0.0,0.0,0.0,17921.500244140625,25829.029008417125,-7890.276282180144,17
3313_46887,18487.76187133789,8,1.0,0.0,0.0,0.0,18378.998291015625,25829.029008417125,-7341.267137079234,18
3238_46934,13480.33411661784,8,0.0,0.0,0.0,0.0,15045.001098632812,20816.030623321043,-7335.696506703203,19
3238_47003,18733.770365397133,8,1.0,0.0,0.0,0.0,21335.621826171875,25829.029008417125,-7095.258643019992,20
