grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_positive
3052_46756,441935.2294921875,8,0.0,1.0,0.0,0.0,389144.89453125,127271.91276355558,314663.3167286319,1
3295_46915,272584.4451497396,8,0.0,0.0,0.0,0.0,327719.736328125,20816.030623321043,251768.4145264185,2
3053_46756,393530.7379557292,8,1.0,1.0,0.0,0.0,334249.0703125,157920.8039380449,235609.93401768428,3
3054_46755,155647.6103515625,8,3.0,0.0,0.0,0.0,119301.2587890625,32049.219392396284,123598.39095916622,4
3302_46888,106458.51489257812,8,1.0,0.0,1.0,0.0,105864.353515625,40705.86482240536,65752.65007017276,5
3296_46900,76798.52685546875,8,0.0,0.0,0.0,0.0,87091.37890625,20816.030623321043,55982.49623214771,6
3318_46884,74748.05102539062,8,1.0,0.0,0.0,0.0,74350.5009765625,25829.029008417125,48919.0220169735,7
3319_46884,61493.25280761719,8,0.0,0.0,0.0,0.0,52738.49560546875,20816.030623321043,40677.222184296144,8
3319_46883,99791.84350585938,8,2.0,0.0,2.0,0.0,93341.14453125,60260.13741435638,39531.706091502994,9
3228_46887,60262.22591145833,8,0.0,0.0,0.0,0.0,63727.25146484375,20816.030623321043,39446.195288137285,10
3226_46885,58091.3583984375,8,0.0,0.0,0.0,0.0,63748.75146484375,20816.030623321043,37275.32777511646,11
3146_46979,59248.29960123698,8,1.0,0.0,0.0,0.0,57123.87646484375,25829.029008417125,33419.270592819856,12
3257_47012,61303.27884928386,8,0.0,0.0,1.0,0.0,60767.3798828125,32805.62407739703,28497.65477188683,13
3318_46889,53029.95670572917,8,1.0,0.0,0.0,0.0,47751.00732421875,25829.029008417125,27200.92769731204,14
3310_46891,44477.11385091145,8,0.0,0.0,0.0,0.0,46960.4990234375,20816.030623321043,23661.08322759041,15
3311_46880,55051.32857259114,8,0.0,0.0,1.0,0.0,47640.8828125,32805.62407739703,22245.704495194117,16
3312_46894,40022.95876057943,8,1.0,0.0,0.0,0.0,71359.9931640625,25829.029008417125,14193.929752162305,17
3057_46762,38004.4277750651,8,1.0,0.0,0.0,0.0,29103.87548828125,25829.029008417125,12175.398766647975,18
3053_46755,43343.09655761719,8,0.0,0.0,1.0,0.0,38404.87548828125,32805.62407739703,10537.47248022016,19
3054_46753,30959.949096679688,8,0.0,0.0,0.0,0.0,30065.12109375,20816.030623321043,10143.918473358644,20
