grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_positive
3052_46756,392260.42988782056,13,0.0,1.0,0.0,0.0,408414.6298076923,120953.28102408424,271307.1488637363,1
3295_46915,286848.2787459936,13,0.0,0.0,0.0,0.0,293090.77764423075,20020.86714625119,266827.4115997424,2
3053_46756,343956.45993589744,13,1.0,1.0,0.0,0.0,358855.125,145737.8119581211,198218.64797777636,3
3054_46755,121511.92497996794,13,3.0,0.0,0.0,0.0,125922.14002403848,29066.824977160737,92445.1000028072,4
3302_46888,101206.17553084936,13,1.0,0.0,1.0,0.0,107887.23317307692,37251.42855313976,63954.7469777096,5
3296_46900,82429.50881410256,13,0.0,0.0,0.0,0.0,80477.98948317308,20020.86714625119,62408.64166785138,6
3318_46884,67140.59119591347,13,1.0,0.0,0.0,0.0,64383.61899038462,24123.51305048859,43017.07814542488,7
3319_46884,55138.56908553686,13,0.0,0.0,0.0,0.0,55017.30979567308,20020.86714625119,35117.701939285675,8
3228_46887,55008.94633914263,13,0.0,0.0,0.0,0.0,54127.081129807695,20020.86714625119,34988.07919289144,9
3226_46885,54540.433067908656,13,0.0,0.0,0.0,0.0,52400.46484375,20020.86714625119,34519.56592165747,10
3146_46979,54809.33283253205,13,1.0,0.0,0.0,0.0,58089.928786057695,24123.51305048859,30685.819782043454,11
3319_46883,80874.61052684294,13,2.0,0.0,2.0,0.0,69534.99849759616,53565.06421654172,27309.54631030121,12
3257_47012,57527.12284655449,13,0.0,0.0,1.0,0.0,62264.995793269234,30916.23235222246,26610.89049433203,13
3311_46880,57409.9580078125,13,0.0,0.0,1.0,0.0,54699.082331730766,30916.23235222246,26493.72565559004,14
3318_46889,46924.90266927084,13,1.0,0.0,0.0,0.0,46116.99849759616,24123.51305048859,22801.389618782247,15
3310_46891,39615.33250701122,13,0.0,0.0,0.0,0.0,39025.23302283654,20020.86714625119,19594.46536076003,16
3054_46753,31206.68896484375,13,0.0,0.0,0.0,0.0,37312.92533052885,20020.86714625119,11185.821818592562,17
3314_46895,33078.93202874599,13,1.0,0.0,0.0,0.0,74957.2314453125,24123.51305048859,8955.418978257403,18
3172_46989,28453.62640224359,13,0.0,0.0,0.0,0.0,25785.38551682692,20020.86714625119,8432.759255992401,19
3053_46755,39166.94165665064,13,0.0,0.0,1.0,0.0,40552.07151442308,30916.23235222246,8250.70930442818,20
