grid_id,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,visits_2024
3052_46756,3052,46756,-83.35921382278624,42.2087639148491,57024.74863387978,139466.89392489183,20871058.0,20871058.0
3053_46756,3053,46756,-83.35800341069549,42.20878881612681,51096.428961748636,124993.56909892,18701293.0,18701293.0
3295_46915,3295,46915,-83.06972154736151,42.35754509305293,35794.38524590164,88645.94746112508,13100745.0,13100745.0
3054_46755,3054,46755,-83.35675952891577,42.20791383404898,20249.920765027324,49800.29867722398,7411471.0,7411471.0
3302_46888,3302,46888,-83.06043298979989,42.3333974074094,13202.63387978142,32220.315455327545,4832164.0,4832164.0
3319_46883,3319,46883,-83.03966560204515,42.32926604843243,10866.24863387978,29237.874036434685,3977047.0,3977047.0
3318_46884,3318,46884,-83.04090768837024,42.33014449945832,10349.33606557377,25393.214416844647,3787857.0,3787857.0
3296_46900,3296,46900,-83.06806524507091,42.34406664735267,9747.5,24146.149397253404,3567585.0,3567585.0
3311_46880,3311,46880,-83.049281715264,42.32639284463346,8931.338797814207,23322.07865071495,3268870.0,3268870.0
3257_47012,3257,47012,-83.11876993113601,42.44400186825875,8743.169398907105,21295.16661068348,3200000.0,3200000.0
3146_46979,3146,46979,-83.25257652604046,42.41173159288757,8236.448087431694,20064.217141163077,3014540.0,3014540.0
3228_46887,3228,46887,-83.1501637570667,42.330848650722324,8156.475409836065,19965.692853859124,2985270.0,2985270.0
3286_46873,3286,46873,-83.07939665782175,42.319546549602336,7661.081967213115,18997.803228882436,2803956.0,2803956.0
3314_46895,3314,46895,-83.04608069180094,42.33995842909652,7218.617486338798,23072.332395428915,2642014.0,2642014.0
3226_46885,3226,46885,-83.15252820230965,42.329003160140644,7116.486338797814,17572.68134363691,2604634.0,2604634.0
3318_46889,3318,46889,-83.04105324716478,42.33464470903483,6967.803278688524,17092.049660127115,2550216.0,2550216.0
3053_46755,3053,46755,-83.35796992538698,42.207888946311634,6453.20218579235,15765.219301544379,2361872.0,2361872.0
3319_46884,3319,46884,-83.03969469253722,42.330166091498654,6186.213114754099,16164.364647667993,2264154.0,2264154.0
3307_46896,3307,46896,-83.0546022318694,42.340706547408466,6035.270491803279,17831.57718600616,2208909.0,2208909.0
3312_46894,3312,46894,-83.04847782275372,42.339015052447614,5851.166666666667,21343.09333294193,2141527.0,2141527.0
3223_46832,3223,46832,-83.15453906613902,42.2812358125245,5829.163934426229,14676.632796231588,2133474.0,2133474.0
3310_46891,3310,46891,-83.05081636597365,42.33627155582137,5390.215846994535,13310.929860605402,1972819.0,1972819.0
3057_46762,3057,46762,-83.35336227936138,42.21428752781237,4917.53825136612,12208.755321261808,1799819.0,1799819.0
3296_46895,3296,46895,-83.06791771208606,42.33956652145239,4475.8879781420765,10914.4822901645,1638175.0,1638175.0
3316_46889,3316,46889,-83.04347940756374,42.334601479712056,4353.882513661202,10955.834395943266,1593521.0,1593521.0
3055_46754,3055,46754,-83.35551568143521,42.207038837488014,4316.295081967213,10554.156877448855,1579764.0,1579764.0
3188_47014,3188,47014,-83.20267356214632,42.444220625103654,3918.5054644808743,9621.593784265873,1434173.0,1434173.0
3054_46753,3054,46753,-83.35669259718703,42.206114092368274,3878.1939890710382,9518.638892405132,1419419.0,1419419.0
3303_47014,3303,47014,-83.06293162017822,42.44682191607947,3745.4234972677596,9302.637918870745,1370825.0,1370825.0
3318_46891,3318,46891,-83.04111148000825,42.33644479175906,3732.74043715847,9142.504258445124,1366183.0,1366183.0
3106_46960,3106,46960,-83.30052620018385,42.393668696702974,3568.653005464481,8709.465902286549,1306127.0,1306127.0
3318_46883,3318,46883,-83.04087858060747,42.32924445706887,3524.5136612021856,8983.45611584609,1289972.0,1289972.0
3240_46979,3240,46979,-83.13841675431966,42.413918983798695,3421.431693989071,9553.617511540313,1252244.0,1252244.0
3295_46894,3295,46894,-83.0691013472721,42.338644601985784,3420.448087431694,8619.366084946241,1251884.0,1251884.0
3235_47014,3235,47014,-83.14556387781552,42.445304330520756,3271.74043715847,8266.656875821838,1197457.0,1197457.0
3256_47013,3256,47013,-83.12001541664408,42.44487937040638,3260.3060109289618,8040.723584960827,1193272.0,1193272.0
3172_46989,3172,46989,-83.22131943809983,42.42134721091384,3253.0,8498.990222566366,1190598.0,1190598.0
