date,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33,h_34,h_35,h_36,h_37,h_38,h_39,h_40,h_41,h_42,h_43,h_44,h_45,h_46,h_47,h_48,h_49,h_50,h_51,h_52,h_53,h_54,h_55,h_56,h_57,h_58,h_59,h_60,h_61,h_62,h_63,h_64,h_65,h_66,h_67,h_68,h_69,h_70,h_71,h_72,h_73,h_74,h_75,h_76,h_77,h_78,h_79,h_80,h_81,h_82,h_83,h_84,h_85,h_86,h_87,h_88,h_89,h_90,h_91,h_92,h_93,h_94,h_95,h_96,h_97,h_98,h_99,h_100,h_101,h_102,h_103,h_104,h_105,h_106,h_107,h_108,h_109,h_110,h_111,h_112,h_113,h_114,h_115,h_116,h_117,h_118,h_119,h_120,h_121,h_122,h_123,h_124,h_125,h_126,h_127,h_128,h_129,h_130,h_131,h_132,h_133,h_134,h_135,h_136,h_137,h_138,h_139,h_140,h_141,h_142,h_143,h_144,h_145,h_146,h_147,h_148,h_149,h_150,h_151,h_152,h_153,h_154,h_155,h_156,h_157,h_158,h_159,h_160,h_161,h_162,h_163,h_164,h_165,h_166,h_167,m_sin,m_cos,woy_sin,woy_cos,week_start_dow,visitors,visits_roll_mean,visits_roll_std,visits_logdiff,visits_z,OT
2025-01-06,36609.0,25170.0,25170.0,24642.0,35325.0,59890.0,83775.0,121786.0,134603.0,135745.0,139745.0,155518.0,155163.0,164289.0,176721.0,168865.0,155322.0,140667.0,122761.0,100723.0,86869.0,68980.0,51724.0,34566.0,26096.0,22396.0,22396.0,25113.0,34626.0,56942.0,82540.0,118811.0,123754.0,126494.0,130323.0,143252.0,153211.0,158741.0,166844.0,172448.0,155807.0,145528.0,129964.0,111959.0,91298.0,78112.0,57031.0,41861.0,30342.0,24663.0,24663.0,23313.0,31470.0,55072.0,83766.0,118097.0,134218.0,127796.0,132448.0,141505.0,154033.0,159177.0,175410.0,173950.0,166176.0,146235.0,128154.0,106641.0,88633.0,69979.0,54723.0,40456.0,30151.0,25952.0,25952.0,25860.0,34072.0,58510.0,84566.0,123476.0,135215.0,135331.0,133379.0,149613.0,153176.0,166365.0,173043.0,178176.0,171431.0,151091.0,140871.0,124676.0,99997.0,82964.0,66193.0,46581.0,35757.0,26757.0,26757.0,25668.0,34345.0,59236.0,86246.0,118414.0,130729.0,133938.0,147388.0,157819.0,170907.0,180365.0,191790.0,194517.0,180022.0,171603.0,161585.0,143135.0,116816.0,106955.0,78546.0,58393.0,44662.0,34008.0,34008.0,26131.0,30571.0,40021.0,58494.0,76680.0,90300.0,106826.0,124076.0,142217.0,152072.0,164319.0,171074.0,174008.0,168403.0,165136.0,148881.0,136008.0,115732.0,106988.0,86194.0,63587.0,47457.0,38053.0,38053.0,24938.0,28909.0,40619.0,53170.0,65195.0,76231.0,93669.0,106704.0,128677.0,137586.0,148313.0,148843.0,150154.0,146334.0,133379.0,125808.0,113245.0,90353.0,67816.0,50930.0,39641.0,0.0,1.0,0.12053668025532305,0.992708874098054,-0.5,7016865.0,8514250.0,0.0,0.0,0.0,8514250.0
2025-01-13,34307.0,24810.0,24810.0,23864.0,34428.0,60324.0,86951.0,126542.0,138603.0,141950.0,147268.0,161999.0,162039.0,172391.0,185623.0,175359.0,159592.0,144448.0,122958.0,100580.0,85928.0,66702.0,53441.0,34378.0,26985.0,22913.0,22913.0,24261.0,34372.0,58120.0,86312.0,125191.0,129835.0,129522.0,136534.0,149222.0,157276.0,162012.0,172024.0,177443.0,162684.0,152910.0,134878.0,116812.0,92603.0,80094.0,58028.0,42092.0,31605.0,24936.0,24936.0,24459.0,32317.0,57341.0,87369.0,126956.0,145528.0,138211.0,142224.0,150616.0,162855.0,171232.0,189227.0,190979.0,182437.0,158214.0,137520.0,110938.0,95117.0,75326.0,57426.0,42009.0,29785.0,26137.0,26137.0,25427.0,33431.0,57695.0,88592.0,127329.0,140292.0,139907.0,135762.0,153737.0,155929.0,169825.0,178653.0,181306.0,172223.0,150408.0,140467.0,122441.0,97936.0,81982.0,65555.0,49201.0,35844.0,26469.0,26469.0,24558.0,31608.0,57987.0,86390.0,121312.0,131565.0,135580.0,146881.0,160070.0,171316.0,182599.0,189703.0,191900.0,182569.0,169704.0,153381.0,135010.0,110950.0,97931.0,77433.0,57985.0,46939.0,35787.0,35787.0,25859.0,31238.0,42440.0,62172.0,80019.0,94909.0,112341.0,130387.0,155426.0,168936.0,183279.0,191693.0,193720.0,187893.0,195490.0,186284.0,168383.0,139810.0,131794.0,109074.0,88062.0,46686.0,37241.0,37241.0,24724.0,28281.0,38904.0,48933.0,60358.0,70781.0,84055.0,100425.0,120770.0,131473.0,139912.0,141545.0,144142.0,137682.0,120210.0,115657.0,103840.0,82241.0,62916.0,46336.0,37957.0,0.0,1.0,0.23931566428755774,0.970941817426052,-0.5,7196734.0,8626663.0,158975.98918704674,0.026063229856902126,0.7071067811865475,8739076.0
2025-01-20,29466.0,21194.0,21194.0,19419.0,28740.0,47995.0,71987.0,104015.0,115909.0,115531.0,120095.0,134613.0,133284.0,143379.0,154727.0,149124.0,136923.0,122249.0,105479.0,89600.0,76610.0,57659.0,45001.0,29541.0,24157.0,19509.0,19509.0,19535.0,29993.0,50871.0,76509.0,111832.0,117498.0,114809.0,119033.0,136025.0,141476.0,145171.0,153617.0,158713.0,142353.0,128592.0,111657.0,96200.0,78154.0,63313.0,48860.0,35976.0,26400.0,21563.0,21563.0,20776.0,26840.0,48947.0,73396.0,106655.0,121567.0,115525.0,117870.0,128776.0,139930.0,141412.0,158980.0,158773.0,147771.0,129276.0,114485.0,96012.0,81082.0,64929.0,48417.0,35979.0,30039.0,26062.0,26062.0,23801.0,33294.0,57838.0,86798.0,127357.0,137236.0,136423.0,134452.0,147506.0,149948.0,164793.0,173127.0,179349.0,172074.0,151961.0,141584.0,122380.0,100977.0,86024.0,62569.0,47665.0,36522.0,26087.0,26087.0,23430.0,31638.0,56129.0,85727.0,119029.0,131031.0,132446.0,145151.0,154873.0,167862.0,178144.0,189565.0,190471.0,178649.0,160552.0,147641.0,130309.0,105058.0,95792.0,74401.0,56174.0,43291.0,33781.0,33781.0,23851.0,28563.0,38702.0,57749.0,76892.0,85491.0,100614.0,116099.0,135774.0,143382.0,157360.0,166851.0,170457.0,160163.0,161629.0,151598.0,136769.0,114426.0,108073.0,84561.0,67426.0,42893.0,35101.0,35101.0,23400.0,25518.0,36022.0,45237.0,57121.0,67570.0,76794.0,89478.0,107226.0,120073.0,133709.0,129745.0,130349.0,121212.0,110345.0,109282.0,97907.0,78714.0,60915.0,44701.0,36499.0,0.0,1.0,0.3546048870425356,0.9350162426854148,-0.5,6775444.0,8493833.666666666,256061.6682565612,-0.060240215747102255,-1.037479246602772,8228175.0
2025-01-27,32852.0,23346.0,23346.0,20992.0,31563.0,55002.0,80623.0,120324.0,135141.0,137296.0,142788.0,157714.0,156397.0,165142.0,179690.0,171585.0,157171.0,143021.0,126224.0,108213.0,90959.0,73657.0,53255.0,33413.0,27108.0,22264.0,22264.0,22438.0,32417.0,57412.0,83818.0,125267.0,134684.0,129744.0,137749.0,152916.0,159268.0,164186.0,177685.0,181912.0,159911.0,149094.0,125153.0,106409.0,88029.0,72855.0,55120.0,42473.0,30964.0,24662.0,24662.0,23096.0,30417.0,53607.0,83415.0,123190.0,139471.0,137364.0,140665.0,150546.0,158892.0,162449.0,184487.0,181728.0,169212.0,148561.0,130689.0,107565.0,90665.0,72609.0,56086.0,40407.0,28998.0,25336.0,25336.0,24617.0,32043.0,56576.0,86568.0,128793.0,147956.0,143737.0,143142.0,156519.0,160772.0,169480.0,180698.0,182476.0,177108.0,150872.0,143047.0,119554.0,95999.0,80209.0,62942.0,48457.0,36225.0,26078.0,26078.0,23825.0,31343.0,56888.0,87465.0,122527.0,137095.0,138490.0,153374.0,159907.0,174860.0,185773.0,200473.0,200168.0,184751.0,176276.0,162657.0,144366.0,115790.0,105773.0,76819.0,56152.0,43874.0,34627.0,34627.0,25332.0,29527.0,39357.0,57445.0,74310.0,85696.0,106135.0,118530.0,139451.0,146746.0,161721.0,168542.0,169134.0,158388.0,154983.0,141848.0,127057.0,104200.0,97135.0,84417.0,66878.0,46672.0,34312.0,34312.0,22471.0,25232.0,37526.0,47487.0,59074.0,69638.0,79852.0,97790.0,118801.0,132951.0,143966.0,142723.0,143780.0,133815.0,126124.0,115749.0,102693.0,83088.0,62736.0,48546.0,37727.0,0.0,1.0,0.4647231720437685,0.8854560256532099,-0.5,7145954.0,8548883.75,236291.69543930926,0.05737058227604486,0.6989253248742222,8714034.0
2025-02-03,34106.0,24110.0,24110.0,21842.0,31971.0,56336.0,82129.0,126693.0,146852.0,144050.0,148120.0,164374.0,164961.0,174612.0,193611.0,185482.0,168364.0,153204.0,127780.0,107029.0,89575.0,71776.0,53010.0,33996.0,27028.0,22309.0,22309.0,23276.0,32551.0,58544.0,89071.0,131904.0,143871.0,134579.0,145330.0,157266.0,170001.0,171680.0,183418.0,188292.0,167143.0,161774.0,138115.0,116558.0,100372.0,82211.0,62081.0,42833.0,32058.0,26632.0,26632.0,24465.0,31383.0,55397.0,86679.0,127905.0,144478.0,139996.0,150031.0,155960.0,166541.0,171446.0,191471.0,189540.0,177302.0,156238.0,142618.0,116653.0,101068.0,82689.0,62400.0,43640.0,27950.0,25109.0,25109.0,24234.0,30820.0,53811.0,83893.0,121839.0,137706.0,137385.0,138038.0,148280.0,153323.0,162030.0,172823.0,179837.0,170058.0,142996.0,134368.0,112164.0,92487.0,76031.0,60748.0,46407.0,37623.0,28342.0,28342.0,25159.0,33243.0,59324.0,89107.0,127060.0,140804.0,140494.0,157264.0,165841.0,177099.0,189286.0,201895.0,206093.0,192983.0,178371.0,163431.0,142601.0,116047.0,109643.0,81441.0,59511.0,43765.0,34094.0,34094.0,23007.0,28581.0,37964.0,55211.0,72984.0,86982.0,108105.0,119260.0,142774.0,153738.0,167160.0,177264.0,179964.0,166593.0,168554.0,161984.0,147710.0,125024.0,114226.0,88191.0,68616.0,46506.0,34681.0,34681.0,22896.0,24999.0,37080.0,45850.0,58761.0,71579.0,79189.0,98497.0,118561.0,130689.0,141433.0,139389.0,139780.0,130212.0,120737.0,113547.0,103265.0,80482.0,63388.0,47569.0,37719.0,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,-0.5,7449467.0,8690828.25,351165.50055909046,0.04136268158761425,1.1140039365403807,9082028.0
2025-02-10,32550.0,23278.0,23278.0,21590.0,31208.0,54829.0,78846.0,121068.0,136756.0,135396.0,139554.0,157695.0,159247.0,163831.0,181996.0,175358.0,155147.0,139622.0,114187.0,92280.0,79165.0,61781.0,49433.0,32736.0,27115.0,22902.0,22902.0,22438.0,31884.0,57075.0,85100.0,123177.0,137188.0,133410.0,143985.0,153652.0,160775.0,163846.0,180695.0,183326.0,163829.0,151285.0,125892.0,103016.0,87033.0,71853.0,55768.0,41862.0,30275.0,25218.0,25218.0,23502.0,31553.0,54022.0,82967.0,123624.0,137634.0,138041.0,145670.0,149098.0,162786.0,166713.0,184094.0,181356.0,168539.0,144465.0,125385.0,107255.0,91126.0,71620.0,54847.0,39654.0,28327.0,24677.0,24677.0,24616.0,32081.0,55726.0,83455.0,116710.0,132167.0,130568.0,131947.0,144618.0,150738.0,158882.0,166582.0,174505.0,164690.0,141894.0,132257.0,112672.0,93528.0,77767.0,60708.0,45891.0,38620.0,28012.0,28012.0,26156.0,34920.0,61092.0,89610.0,128519.0,143656.0,143012.0,159641.0,170357.0,182590.0,192655.0,203977.0,210230.0,194614.0,175157.0,165062.0,144041.0,118493.0,109685.0,83950.0,62055.0,46367.0,36084.0,36084.0,24655.0,29682.0,38746.0,56865.0,74955.0,89344.0,112470.0,127045.0,151510.0,164047.0,178917.0,190833.0,191117.0,180099.0,183202.0,173960.0,148267.0,125152.0,117185.0,97376.0,77282.0,46168.0,33772.0,33772.0,22491.0,25174.0,37827.0,48768.0,60098.0,70028.0,79775.0,96952.0,116907.0,131773.0,140876.0,142680.0,141668.0,124422.0,121000.0,116502.0,99466.0,77249.0,61062.0,45443.0,37311.0,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011,-0.5,7518144.0,8789893.5,418710.76523259655,0.005852563892883467,0.8250170014332062,9135337.0
2025-02-17,29419.0,22297.0,22297.0,19593.0,30473.0,55777.0,76476.0,117356.0,135739.0,134947.0,140925.0,153478.0,153563.0,160390.0,175522.0,167980.0,155054.0,137427.0,112014.0,94285.0,80275.0,63333.0,49020.0,33468.0,27587.0,23250.0,23250.0,22306.0,33867.0,59461.0,84854.0,120984.0,135768.0,130869.0,140372.0,154070.0,160381.0,162566.0,175205.0,178726.0,158326.0,142064.0,120165.0,101979.0,86358.0,69870.0,54474.0,41720.0,31250.0,25751.0,25751.0,23960.0,31123.0,57364.0,87063.0,124556.0,142596.0,143480.0,149638.0,154694.0,168546.0,172979.0,188139.0,181532.0,172203.0,150951.0,130365.0,109754.0,94746.0,74461.0,54824.0,41060.0,31520.0,27803.0,27803.0,25978.0,34482.0,59599.0,89575.0,127727.0,147602.0,145256.0,150111.0,166247.0,168279.0,176273.0,183090.0,193734.0,184999.0,162949.0,152007.0,130526.0,107034.0,90198.0,68850.0,52986.0,39817.0,28898.0,28898.0,25993.0,34594.0,60465.0,88753.0,125638.0,142430.0,145060.0,157774.0,167379.0,179424.0,190009.0,199642.0,210306.0,194000.0,175761.0,161796.0,141550.0,115797.0,109464.0,81566.0,60220.0,48016.0,37447.0,37447.0,25824.0,31134.0,41149.0,60462.0,77576.0,94110.0,114938.0,135089.0,164929.0,181208.0,192879.0,210821.0,210861.0,198324.0,198925.0,188682.0,166906.0,139089.0,126471.0,103332.0,80507.0,51336.0,38462.0,38462.0,24834.0,26683.0,38505.0,48973.0,61801.0,74154.0,82968.0,100824.0,124519.0,142855.0,162911.0,168830.0,170439.0,155642.0,153232.0,148636.0,131453.0,101199.0,77950.0,59855.0,49966.0,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953,-0.5,8055869.0,9178381.75,443946.4167970236,0.06840695982462108,1.3599529744060044,9782128.0
2025-02-24,36006.0,25495.0,25495.0,22422.0,34741.0,63035.0,84781.0,128252.0,146667.0,146831.0,152275.0,170420.0,169126.0,177672.0,202036.0,188577.0,171919.0,155468.0,127487.0,105019.0,91315.0,72689.0,52396.0,37888.0,30506.0,24223.0,24223.0,23853.0,35610.0,63726.0,94238.0,134346.0,153131.0,148546.0,160040.0,172052.0,180894.0,183438.0,198338.0,204090.0,178171.0,159366.0,137118.0,113387.0,98974.0,83603.0,63478.0,47062.0,37548.0,29361.0,29361.0,26127.0,32868.0,60842.0,97183.0,139132.0,160045.0,162642.0,168143.0,175494.0,186071.0,193229.0,210407.0,208457.0,192712.0,171720.0,150275.0,121632.0,103742.0,85452.0,60139.0,42590.0,30701.0,27598.0,27598.0,26610.0,35766.0,63644.0,97137.0,138237.0,155308.0,157187.0,155872.0,175876.0,179979.0,186540.0,199612.0,211565.0,195498.0,178665.0,168774.0,138607.0,118717.0,98343.0,74771.0,58879.0,46238.0,33171.0,33171.0,27388.0,36794.0,67497.0,102566.0,151386.0,172741.0,185482.0,203217.0,214772.0,232063.0,234136.0,255348.0,265570.0,245471.0,228243.0,207702.0,182044.0,143330.0,132373.0,96867.0,68703.0,49446.0,37012.0,37012.0,25621.0,32093.0,43372.0,65110.0,83166.0,100202.0,126472.0,149160.0,179021.0,196878.0,213608.0,221410.0,221797.0,204258.0,201983.0,189267.0,167409.0,143410.0,124848.0,99779.0,79465.0,50190.0,38366.0,38366.0,24593.0,27068.0,39064.0,51057.0,67167.0,78719.0,91644.0,106531.0,133119.0,150944.0,165727.0,166459.0,166777.0,149434.0,144076.0,136321.0,119571.0,91154.0,70641.0,52688.0,43074.0,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311559,-0.5,8600529.0,9617728.25,652046.255451444,0.06809258726366352,1.3092502914673543,10471420.0
2025-03-03,34100.0,24133.0,24133.0,20428.0,33983.0,60997.0,84153.0,126646.0,146170.0,146844.0,153970.0,167701.0,169940.0,177370.0,197304.0,186799.0,168965.0,152958.0,119405.0,98496.0,83252.0,66553.0,52571.0,37167.0,28735.0,22769.0,22769.0,21591.0,33564.0,59468.0,87767.0,126099.0,140391.0,136718.0,145386.0,157743.0,165151.0,168637.0,186591.0,191075.0,172420.0,157649.0,140493.0,115529.0,102019.0,85387.0,60114.0,43273.0,34315.0,29138.0,29138.0,26578.0,32179.0,59123.0,92244.0,133436.0,147223.0,150512.0,153932.0,166060.0,176719.0,181882.0,195026.0,198822.0,183152.0,158054.0,132360.0,109173.0,93722.0,74131.0,56055.0,41944.0,32157.0,26554.0,26554.0,25337.0,35486.0,64431.0,98208.0,136922.0,152730.0,151070.0,153024.0,176070.0,178440.0,187110.0,196997.0,206983.0,196808.0,181425.0,164199.0,140716.0,118070.0,96488.0,72120.0,50117.0,36085.0,28040.0,28040.0,27261.0,36315.0,65865.0,98330.0,134416.0,152600.0,150811.0,166381.0,175015.0,187836.0,197518.0,213320.0,218213.0,204161.0,184743.0,173710.0,149983.0,124408.0,112641.0,86642.0,64419.0,44285.0,33277.0,33277.0,23129.0,28606.0,39863.0,59424.0,76632.0,93020.0,115005.0,134550.0,158460.0,169545.0,182166.0,195820.0,190366.0,175925.0,171150.0,157786.0,140627.0,118301.0,102429.0,82711.0,67297.0,47943.0,35786.0,35786.0,23751.0,26411.0,38602.0,49340.0,64451.0,73952.0,83895.0,97335.0,121996.0,133635.0,147760.0,146897.0,148264.0,130879.0,125900.0,126072.0,106892.0,86050.0,66011.0,50487.0,38784.0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,-0.5,8145996.0,9828690.5,549379.5191914235,-0.053504450644435764,0.17690229905737848,9925877.0
2025-03-10,35035.0,25497.0,25497.0,21823.0,34337.0,59874.0,84855.0,124882.0,141200.0,143432.0,144384.0,158534.0,164537.0,170597.0,187634.0,181069.0,163563.0,155850.0,132041.0,111256.0,95696.0,78368.0,55785.0,39184.0,29420.0,21959.0,21959.0,22325.0,33162.0,59955.0,91930.0,131298.0,148515.0,142718.0,150104.0,163122.0,172527.0,173078.0,189657.0,193538.0,170924.0,158808.0,143904.0,120472.0,107435.0,88122.0,60207.0,44249.0,33411.0,28716.0,28716.0,27275.0,33659.0,58547.0,97677.0,136641.0,150761.0,152293.0,153723.0,166907.0,175895.0,182401.0,195439.0,199803.0,183656.0,162026.0,142770.0,119748.0,104690.0,84327.0,62126.0,42370.0,33568.0,28160.0,28160.0,26398.0,37328.0,64543.0,99145.0,135772.0,153417.0,154420.0,155901.0,179529.0,185022.0,191829.0,197224.0,212016.0,200337.0,181103.0,166861.0,140196.0,120969.0,100058.0,75277.0,52194.0,36701.0,27549.0,27549.0,27387.0,36875.0,66521.0,98127.0,135342.0,153219.0,155765.0,168546.0,183417.0,192647.0,201355.0,218299.0,225431.0,212317.0,190701.0,182041.0,155816.0,127491.0,111363.0,88606.0,66246.0,47424.0,34204.0,34204.0,26295.0,33144.0,43948.0,64118.0,79697.0,99633.0,118116.0,135812.0,162302.0,176841.0,185388.0,194705.0,199300.0,177023.0,175478.0,163898.0,146937.0,123884.0,107242.0,87803.0,71864.0,49618.0,38686.0,38686.0,26174.0,28251.0,39031.0,50726.0,64375.0,76294.0,85912.0,101426.0,122888.0,143211.0,154703.0,152540.0,155633.0,140741.0,137667.0,128252.0,114222.0,88502.0,70144.0,56571.0,43125.0,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557,-0.5,8345872.0,10080817.25,299869.20963354927,0.021721831473012543,0.2101807987456295,10143844.0
