grid_id,gx,gy,cell_lon,cell_lat,visits_2025,visitors_2025
3052_46756,3052,46756,-83.35921382278624,42.2087639148491,22120621.0,17058174.0
3053_46756,3053,46756,-83.35800341069549,42.20878881612681,18816292.0,14551580.0
3295_46915,3295,46915,-83.06972154736151,42.35754509305293,13940163.0,9720008.0
3054_46755,3054,46755,-83.35675952891577,42.20791383404898,7028727.0,6020640.0
3302_46888,3302,46888,-83.06043298979989,42.3333974074094,5391906.0,3739593.0
3319_46883,3319,46883,-83.03966560204515,42.32926604843243,4318373.0,3256876.0
3296_46900,3296,46900,-83.06806524507091,42.34406664735267,3897238.0,3081969.0
3318_46884,3318,46884,-83.04090768837024,42.33014449945832,3654258.0,3286627.0
3311_46880,3311,46880,-83.049281715264,42.32639284463346,3248607.0,2563844.0
3257_47012,3257,47012,-83.11876993113601,42.44400186825875,3172296.0,2612973.0
3319_46884,3319,46884,-83.03969469253722,42.330166091498654,2998584.0,2313074.0
3146_46979,3146,46979,-83.25257652604046,42.41173159288757,2976435.0,2240933.0
3228_46887,3228,46887,-83.1501637570667,42.330848650722324,2975538.0,2224565.0
3226_46885,3226,46885,-83.15252820230965,42.329003160140644,2844512.0,2195184.0
3286_46873,3286,46873,-83.07939665782175,42.319546549602336,2840716.0,2040529.0
3314_46895,3314,46895,-83.04608069180094,42.33995842909652,2579360.0,2332923.0
3307_46896,3307,46896,-83.0546022318694,42.340706547408466,2508853.0,2259657.0
3312_46894,3312,46894,-83.04847782275372,42.339015052447614,2478004.0,2299269.0
3318_46889,3318,46889,-83.04105324716478,42.33464470903483,2454344.0,1867181.0
3310_46891,3310,46891,-83.05081636597365,42.33627155582137,2130185.0,1773960.0
3053_46755,3053,46755,-83.35796992538698,42.207888946311634,2102654.0,1877727.0
3223_46832,3223,46832,-83.15453906613902,42.2812358125245,1897023.0,1310580.0
3057_46762,3057,46762,-83.35336227936138,42.21428752781237,1842577.0,1660283.0
3055_46754,3055,46754,-83.35551568143521,42.207038837488014,1663689.0,1462273.0
3296_46895,3296,46895,-83.06791771208606,42.33956652145239,1583550.0,1058245.0
3054_46753,3054,46753,-83.35669259718703,42.206114092368274,1565317.0,1334376.0
3206_46987,3206,46987,-83.17995951621687,42.42034049756609,1542124.0,1043614.0
3318_46891,3318,46891,-83.04111148000825,42.33644479175906,1507358.0,1188936.0
3172_46989,3172,46989,-83.22131943809983,42.42134721091384,1498973.0,1005483.0
3303_47014,3303,47014,-83.06293162017822,42.44682191607947,1408657.0,1039258.0
3316_46889,3316,46889,-83.04347940756374,42.334601479712056,1385878.0,1241616.0
3188_47014,3188,47014,-83.20267356214632,42.444220625103654,1303456.0,1083315.0
3256_47013,3256,47013,-83.12001541664408,42.44487937040638,1294250.0,1061790.0
3318_46883,3318,46883,-83.04087858060747,42.32924445706887,1282710.0,1029808.0
3344_46898,3344,46898,-83.00977072569178,42.34330254647817,1274088.0,1111824.0
3240_46979,3240,46979,-83.13841675431966,42.413918983798695,1247817.0,605200.0
